{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 11.025696424417408}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 4.6681199321802636}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.1771126647877392}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.036060608430091}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.6342791434326632}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.2815542067104882}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 394.9258053241313}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 131.1285311811267}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 64.85714662742271}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 27.63581718085928}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 13.357566393658844}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 6.351470334104261}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 359.8019930444917}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 133.78243352858556}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 65.0710875941628}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 28.51729851774942}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 15.383231016439264}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 7.964435513451554}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 71.90933354334159}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 25.307796006704113}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 12.598135143169946}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 7.221724356695074}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.5571572261184263}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.4212126419602362}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 32.07060582948668}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 13.55829287697482}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 8.278849826761187}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 4.86849339969635}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.026767892176729}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.0586842570230974}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 187.394111107312}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 110.88533150656616}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 36.87678724833111}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 18.486421855639513}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 13.025431326532313}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 6.7477630673096405}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 221.93301474786463}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 133.95528709362839}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 58.60047080970614}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 35.212592089044286}
