{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.012457155684328997, 'weighted_error': 1.0007279432575615}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 6.027493332586085, 'weighted_error': 1.015464919915021}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 4.950096423150262, 'weighted_error': 1.0127005528180053}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.5995660931702032, 'weighted_error': 1.0015383180611153}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3358588557448147, 'weighted_error': 1.0008617182137978}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.7772538778561959, 'weighted_error': 1.001994206849189}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3348213639517564, 'weighted_error': 1.0008590595642064}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.234104367201237, 'weighted_error': 1.0195004687708158}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.6206409775064478, 'weighted_error': 1.009807047490824}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.23395683693948216, 'weighted_error': 1.0036968225037892}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.07256636745186164, 'weighted_error': 1.001146626656381}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0482098640305374, 'weighted_error': 1.0007617978025916}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.038131464317123824, 'weighted_error': 1.000602513390697}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.274103317400486, 'weighted_error': 1.026076570873262}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.6641263341343111, 'weighted_error': 1.007615256415506}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.43246234125430283, 'weighted_error': 1.0049588641413505}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0935819000882965, 'weighted_error': 1.001073052248636}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.09015722135601509, 'weighted_error': 1.0010338231882026}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06365102365052158, 'weighted_error': 1.0007298609478221}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.9064626626594758, 'weighted_error': 1.0343139825059067}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2570470895178748, 'weighted_error': 1.0046265396383798}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3278277081647768, 'weighted_error': 1.0059005386737125}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04932896028444038, 'weighted_error': 1.0008878355979043}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.03393701541396765, 'weighted_error': 1.0006108467178376}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0637004715721403, 'weighted_error': 1.001146545851077}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.8000795476236592, 'weighted_error': 1.0176229499700344}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.4924160305657311, 'weighted_error': 1.0108460688077912}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.18638103218259996, 'weighted_error': 1.0041053069645725}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.15800678609925506, 'weighted_error': 1.0034803191845802}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.032536353790089095, 'weighted_error': 1.000716655183496}
