{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.009686022649870224, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0138444438786414}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.008855815925256862, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0126578272557074}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.016037045902283144, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.2499601444379598}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0025097673402543846, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0391184160345004}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0021473519935728135, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.033469631181044}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.001629794241080743, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0254028000660746}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0008098033858800783, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.01262189935892}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.000586971968269561, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0091488624462892}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.11022284688831761, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.299277618662373}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03803952859837822, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.1032850344514795}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.014198428714415972, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.0385516544538913}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.015160465370973214, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.041163734891658}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.003763966944636647, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.0102199519704196}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0017313490766925547, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.004700956869261}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.029674520759908993, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.2524233686885065}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.021338048007939973, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.1815098639383694}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.004918942328709562, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0418425603083354}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0034892207163107506, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.029680754177133}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0021126938368605987, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0179713842409839}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0006820988872726387, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0058021613034434}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.06858473278568869, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.1898518613958713}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.02242911145271363, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0620868145565614}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.02757269239340636, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.076324893961873}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.006227998607086911, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0172399666580647}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.003167731503124754, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0087687143450255}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0011089372974833747, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.003069705180028}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.08104007613982725, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.25165503264525}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.025187601393909746, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0782153958063638}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03193043894808846, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0991539159150387}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.012287655036831253, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0381570540157516}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0033594061867321576, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0104319849059844}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0021605880351689252, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0067092913203763}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0975954282669737, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.118980109606695}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.08059573071148969, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.098255578329747}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.015636323939861883, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0190624914235753}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.023260133935316528, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0283568468209885}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0035600876137045824, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0043401528306277}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0035611371009359612, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0043414403181328}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.14037866265337906, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.1419918848158455}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.04747203895720057, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.0480175647861076}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.096610065304683, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.097720173841012}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.021185144427381026, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.021428587439879}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.023584643125175234, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.023855673060754}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0031541967176234097, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.0031904331873636}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.02997679948215349, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0727648071680378}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.028195363038160712, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0684406054470623}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.022205680015683026, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0539014859769746}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.011224016653491155, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0272448349237544}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005913020158660884, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0143531107272314}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.003415890660556497, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0082916427524784}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.05656460375430387, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.3563708959680796}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.01130829224464968, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.0712449803807487}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.016411605737446884, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.103397099243032}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.003429761934542519, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.0216083241549387}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00044822969962007175, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.0028239604495015}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0004238917432468162, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.002670623273559}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0360244509512722, 'shap_norm_sq': 0.0014072032586455493, 'weighted_error': 1.2160313903712083}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.015937251124623554, 'shap_norm_sq': 0.0014072032586455493, 'weighted_error': 1.0955724389549593}
