{'sample_size': 80, 'difference': -3, 'noise': 0.5, 'n': 8, 'shap_error': 0.08025694475472855, 'weighted_error': 1.3825851898168344}
{'sample_size': 80, 'difference': 9, 'noise': 1, 'n': 8, 'shap_error': 0.1015249703709094, 'weighted_error': 1.4267018931113866}
{'sample_size': 80, 'difference': -15, 'noise': 0.0005, 'n': 8, 'shap_error': 0.01686993281632085, 'weighted_error': 1.064599399548238}
{'sample_size': 80, 'difference': -9, 'noise': 0.001, 'n': 8, 'shap_error': 0.014662474489839334, 'weighted_error': 1.0561463973218135}
{'sample_size': 80, 'difference': -6, 'noise': 0.005, 'n': 8, 'shap_error': 0.008268637145778657, 'weighted_error': 1.0316622610892998}
{'sample_size': 80, 'difference': 5, 'noise': 0.01, 'n': 8, 'shap_error': 0.010867510301349179, 'weighted_error': 1.0416081397502053}
{'sample_size': 80, 'difference': -8, 'noise': 0.05, 'n': 8, 'shap_error': 0.018892043363449275, 'weighted_error': 1.071936584183737}
{'sample_size': 80, 'difference': 2, 'noise': 0.1, 'n': 8, 'shap_error': 0.004077092697252397, 'weighted_error': 1.014337310195685}
{'sample_size': 80, 'difference': 1, 'noise': 0.5, 'n': 8, 'shap_error': 0.0342621289245894, 'weighted_error': 1.0993266991351767}
{'sample_size': 80, 'difference': -7, 'noise': 1, 'n': 8, 'shap_error': 0.06697476651659438, 'weighted_error': 1.1289766435844788}
{'sample_size': 80, 'difference': 2, 'noise': 0.0005, 'n': 8, 'shap_error': 0.003033734365321354, 'weighted_error': 1.0669975867936201}
{'sample_size': 80, 'difference': -10, 'noise': 0.001, 'n': 8, 'shap_error': 0.0019986881822170025, 'weighted_error': 1.0441394012325542}
{'sample_size': 80, 'difference': -7, 'noise': 0.005, 'n': 8, 'shap_error': 0.0071104350117576496, 'weighted_error': 1.1570202668183367}
{'sample_size': 80, 'difference': -8, 'noise': 0.01, 'n': 8, 'shap_error': 0.0015409900214385344, 'weighted_error': 1.0335487573791202}
{'sample_size': 80, 'difference': -6, 'noise': 0.05, 'n': 8, 'shap_error': 0.0029957430634376388, 'weighted_error': 1.0650308599100384}
{'sample_size': 80, 'difference': 4, 'noise': 0.1, 'n': 8, 'shap_error': 0.0018525895273914963, 'weighted_error': 1.040797089902788}
{'sample_size': 80, 'difference': -3, 'noise': 0.5, 'n': 8, 'shap_error': 0.07965557135899146, 'weighted_error': 1.5519005550767782}
{'sample_size': 80, 'difference': -14, 'noise': 1, 'n': 8, 'shap_error': 0.13465081681853663, 'weighted_error': 3.4378050885080027}
{'sample_size': 80, 'difference': -6, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0010274843269245095, 'weighted_error': 1.1095704955559218}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.00020930154635363286, 'weighted_error': 1.0223198335149455}
{'sample_size': 80, 'difference': -1, 'noise': 0.005, 'n': 8, 'shap_error': 0.0004652583532729418, 'weighted_error': 1.0495663672445035}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 0.0007311600973547834, 'weighted_error': 1.0777539112591343}
{'sample_size': 80, 'difference': 9, 'noise': 0.05, 'n': 8, 'shap_error': 0.0002392565483515911, 'weighted_error': 1.0251795236299053}
{'sample_size': 80, 'difference': -14, 'noise': 0.1, 'n': 8, 'shap_error': 0.0019628463894193825, 'weighted_error': 1.1959103572820433}
{'sample_size': 80, 'difference': -1, 'noise': 0.5, 'n': 8, 'shap_error': 0.0068577862105830365, 'weighted_error': 1.6145122370400316}
{'sample_size': 80, 'difference': 2, 'noise': 1, 'n': 8, 'shap_error': 0.04238690659813492, 'weighted_error': 2.9806453229763146}
{'sample_size': 80, 'difference': 2, 'noise': 0.0005, 'n': 8, 'shap_error': 0.007844628418885646, 'weighted_error': 1.0207744367620202}
{'sample_size': 80, 'difference': -2, 'noise': 0.001, 'n': 8, 'shap_error': 0.013995843074242783, 'weighted_error': 1.0370644974391212}
{'sample_size': 80, 'difference': -9, 'noise': 0.005, 'n': 8, 'shap_error': 0.02099412038201056, 'weighted_error': 1.0555945331414203}
{'sample_size': 80, 'difference': -4, 'noise': 0.01, 'n': 8, 'shap_error': 0.011526826543203923, 'weighted_error': 1.0305094628408933}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.024834645226975864, 'weighted_error': 1.0657682397302115}
{'sample_size': 80, 'difference': -4, 'noise': 0.1, 'n': 8, 'shap_error': 0.008177315639551336, 'weighted_error': 1.021308496391083}
{'sample_size': 80, 'difference': -5, 'noise': 0.5, 'n': 8, 'shap_error': 0.02817003933058923, 'weighted_error': 1.0745683709822}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.06136262318995944, 'weighted_error': 1.1563627637075709}
{'sample_size': 80, 'difference': 12, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0006024742649322121, 'weighted_error': 1.0423404225246562}
{'sample_size': 80, 'difference': -6, 'noise': 0.001, 'n': 8, 'shap_error': 0.0008290221010520799, 'weighted_error': 1.0582585428719995}
{'sample_size': 80, 'difference': 4, 'noise': 0.005, 'n': 8, 'shap_error': 0.0010070282935309284, 'weighted_error': 1.0707729741341667}
{'sample_size': 80, 'difference': -4, 'noise': 0.01, 'n': 8, 'shap_error': 0.0012402509676517814, 'weighted_error': 1.0870673191701474}
{'sample_size': 80, 'difference': 10, 'noise': 0.05, 'n': 8, 'shap_error': 0.0005063789915006856, 'weighted_error': 1.0258188284121634}
{'sample_size': 80, 'difference': -3, 'noise': 0.1, 'n': 8, 'shap_error': 0.001637441625714827, 'weighted_error': 1.1085931018422082}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.038675274195677276, 'weighted_error': 3.4774053028435796}
{'sample_size': 80, 'difference': 2, 'noise': 1, 'n': 8, 'shap_error': 0.020368071191056825, 'weighted_error': 2.3386225465750687}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0030512263815348243, 'weighted_error': 1.0639177965773645}
{'sample_size': 80, 'difference': 4, 'noise': 0.001, 'n': 8, 'shap_error': 0.0014286387649463587, 'weighted_error': 1.029926161616949}
{'sample_size': 80, 'difference': 6, 'noise': 0.005, 'n': 8, 'shap_error': 0.0011992526789485346, 'weighted_error': 1.0251221572952072}
{'sample_size': 80, 'difference': 4, 'noise': 0.01, 'n': 8, 'shap_error': 0.0011557739231396868, 'weighted_error': 1.02421146008542}
{'sample_size': 80, 'difference': -9, 'noise': 0.05, 'n': 8, 'shap_error': 0.001335561265979831, 'weighted_error': 1.026996096719082}
{'sample_size': 80, 'difference': -10, 'noise': 0.1, 'n': 8, 'shap_error': 0.0033345304901591173, 'weighted_error': 1.0575642778100296}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.020577381890411157, 'weighted_error': 1.4185473802548123}
{'sample_size': 80, 'difference': 3, 'noise': 1, 'n': 8, 'shap_error': 0.07345834983577923, 'weighted_error': 1.9939900917152193}
{'sample_size': 40, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 0.24071823253031124, 'weighted_error': 1.2790694438994314}
{'sample_size': 80, 'difference': -10, 'noise': 0, 'n': 8, 'shap_error': 0.0756393115860345, 'weighted_error': 1.0876900569414798}
{'sample_size': 160, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 0.004007844697940988, 'weighted_error': 1.00464638673771}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 3.6652444150624706e-14, 'weighted_error': 0.9999999999999644}
