{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.342934535146448, 'weighted_error': 1.0410945079455798}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.3608019812314944, 'weighted_error': 1.0238681385602193}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.23311417335070952, 'weighted_error': 1.0040887841132111}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.7269901178582335, 'weighted_error': 1.012751223659369}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.17327692108573936, 'weighted_error': 1.003039322670603}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.049246612280384384, 'weighted_error': 1.0008637652103207}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 9.029755374610797, 'weighted_error': 1.0117778565555464}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.797009393329728, 'weighted_error': 1.0036482738569095}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3100137086108729, 'weighted_error': 1.0004043604831958}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.5603408988214542, 'weighted_error': 1.0007308765766085}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.15436420572709814, 'weighted_error': 1.00020134070955}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.18393057285969516, 'weighted_error': 1.000239910684459}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.013012602017037939, 'weighted_error': 1.0002538248096375}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.025403870883324974, 'weighted_error': 1.0004955207567403}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02675439002022728, 'weighted_error': 1.000521879578523}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00856572842734355, 'weighted_error': 1.000167086740206}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.001260281398609217, 'weighted_error': 1.0000245848165306}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.001077552564434663, 'weighted_error': 1.0000210177919768}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.4275786534165616, 'weighted_error': 1.0075278843412945}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.17323361614829644, 'weighted_error': 1.0030499354407048}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02969749122137963, 'weighted_error': 1.0005228523763647}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04002189240536019, 'weighted_error': 1.0007046226423486}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.009532146209596205, 'weighted_error': 1.0001678214811527}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.005321750911670453, 'weighted_error': 1.0000936912418288}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 8.093094661375379e-11, 'weighted_error': 0.9999999999912765}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 8.254377070907451e-11, 'weighted_error': 0.9999999999913853}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 8.759277202339887e-11, 'weighted_error': 0.9999999999910842}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 7.99062626814059e-11, 'weighted_error': 0.9999999999908032}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 7.946039395809027e-11, 'weighted_error': 0.9999999999907467}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 7.332411771341472e-11, 'weighted_error': 0.999999999990722}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.7620459151226548, 'weighted_error': 1.0065499050398257}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.466365644077294, 'weighted_error': 1.0017335838997652}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.16664349316078436, 'weighted_error': 1.000619442491202}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.05743399640197534, 'weighted_error': 1.0002134828079905}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.045334064645321206, 'weighted_error': 1.0001685080808893}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.017228644275367487, 'weighted_error': 1.0000640523501825}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 6.999540346030769e-11, 'weighted_error': 0.9999999999966107}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 3.373516689402034e-11, 'weighted_error': 0.9999999999957451}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 3.790682206929812e-11, 'weighted_error': 0.999999999995612}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 4.093661077219008e-11, 'weighted_error': 0.9999999999955624}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 3.606315356840598e-11, 'weighted_error': 0.9999999999955891}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 4.235750006430599e-11, 'weighted_error': 0.9999999999955551}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 8.39381722172023, 'weighted_error': 1.0432421068683835}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.9921093468733626, 'weighted_error': 1.0102626229752365}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.6637677350300081, 'weighted_error': 1.003419518993558}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3584079919273554, 'weighted_error': 1.0018464229563113}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.16213188239500514, 'weighted_error': 1.0008352370863438}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.08989062057611823, 'weighted_error': 1.000463081539151}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.7735629542363256, 'weighted_error': 1.0538266162425807}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.1421932228540709, 'weighted_error': 1.004315418931804}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.11611019352259977, 'weighted_error': 1.003523941654502}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.05693731516248818, 'weighted_error': 1.0017280421708505}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04539632693831245, 'weighted_error': 1.0013777339809127}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.033062181339918305, 'weighted_error': 1.0010034125538647}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 15.699571971984366, 'weighted_error': 1.0442692323172003}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 5.6706505217289145, 'weighted_error': 1.015989921611725}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.2342561764169784, 'weighted_error': 1.0034803243537347}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.6048239430667339, 'weighted_error': 1.0017054318871776}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.14121983491728665, 'weighted_error': 1.0003982162368719}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.4044103812006802, 'weighted_error': 1.0011403609221663}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 4.997948786624752, 'weighted_error': 1.12539811093022}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.5415626503128136, 'weighted_error': 1.0135877225812553}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.45793730396805127, 'weighted_error': 1.0114896272216733}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.4546205713787182, 'weighted_error': 1.0114062176708043}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.10994532580405983, 'weighted_error': 1.0027585111648993}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.020674191794976704, 'weighted_error': 1.000518715138656}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.2157107691309591e-11, 'weighted_error': 0.9999999999992745}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.1079065079580662e-11, 'weighted_error': 0.9999999999993109}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.5444327567507582e-11, 'weighted_error': 0.9999999999991572}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.79948079679307e-11, 'weighted_error': 0.9999999999990308}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.408989820981547e-11, 'weighted_error': 0.999999999999009}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.0294201031179804e-11, 'weighted_error': 0.999999999999005}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.12612387895770646, 'weighted_error': 1.0029081083846234}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.43781285877467135, 'weighted_error': 1.0100945463343014}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04012367528906721, 'weighted_error': 1.0009251692004555}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.011118199157102101, 'weighted_error': 1.0002563671768192}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.009338401548799266, 'weighted_error': 1.0002153170218169}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0030134350075511737, 'weighted_error': 1.0000694851280447}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.551492283519772, 'weighted_error': 1.0380811101036758}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.18912450736832603, 'weighted_error': 1.0130590774122097}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2469544010337088, 'weighted_error': 1.0170519692433786}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.05311688701376329, 'weighted_error': 1.003667904121184}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.010369258647489311, 'weighted_error': 1.0007160099322159}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.028857381002388095, 'weighted_error': 1.0019925613295362}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.005752953263648824, 'weighted_error': 1.0005066395231395}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0020794421396574153, 'weighted_error': 1.0001830635695639}
