{'sample_size': 1000, 'noise': 0.001, 'shap_error': 3.0214780507502352, 'weighted_error': 1.0076031726700343, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 4.189216949949494, 'weighted_error': 1.0105416972492747, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 3.2733272894030208, 'weighted_error': 1.008236887448733, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 4.141627121653767, 'weighted_error': 1.0104218417892634, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 4.153616891084596, 'weighted_error': 1.0104517978321967, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 4.792208480183143, 'weighted_error': 1.012051149224875, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 4.833152936735471, 'weighted_error': 1.0121305058229793, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.0807712852813633, 'weighted_error': 1.0134438544423927, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.7485877561419538, 'weighted_error': 1.0093117863869827, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.9055983401858839, 'weighted_error': 1.0112649078682312, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.8238044095362339, 'weighted_error': 1.0102473979854862, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.20912445859990622, 'weighted_error': 1.0026013415584254, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 1.4695247305885017, 'weighted_error': 1.0182795842006251, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.4392465289988247, 'weighted_error': 1.005463722406029, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.6898708249989522, 'weighted_error': 1.0085781392257984, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.232363272410596, 'weighted_error': 1.0028774379442185, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.8741688190266728, 'weighted_error': 1.011710140787925, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 1.2369797903855482, 'weighted_error': 1.0077288951529042, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 1.6608368394756166, 'weighted_error': 1.0103771840228055, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 1.8899822767554966, 'weighted_error': 1.0118089513892219, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 1.3898313478209317, 'weighted_error': 1.0086839609003553, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 3.2442357266356163, 'weighted_error': 1.0202705271738897, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 1.0604988286543016, 'weighted_error': 1.0066261611060168, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 1.0461449770163969, 'weighted_error': 1.0065360525979838, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 2.2217081084221624, 'weighted_error': 1.0138801826356967, 'gamma': 0.0}
