{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.80576569667169e-06, 'weighted_error': 1.0031778343351465, 'gamma': 250.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.761010289948414e-08, 'weighted_error': 1.0000312095335733, 'gamma': 250.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.250368777978695e-07, 'weighted_error': 1.0009342350767658, 'gamma': 250.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.0353914762179463e-07, 'weighted_error': 1.0001171589909619, 'gamma': 250.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.154858987848311e-07, 'weighted_error': 1.000357585639439, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 6.329038275060178e-07, 'weighted_error': 1.0017162954794256, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 1.5582791140299183e-06, 'weighted_error': 1.0041804095681455, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 2.8453966887393625e-06, 'weighted_error': 1.0050084760073583, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 5.910622453999938e-06, 'weighted_error': 1.004951937128492, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.00010531130723394553, 'weighted_error': 1.0067889294083459, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0004774149355818406, 'weighted_error': 1.181934513616229, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.011279378512457524, 'weighted_error': 3.7402733138853557, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.04591390187955005, 'weighted_error': 14.15575097724016, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 3.4314663398956515e-07, 'weighted_error': 1.0008356596635557, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 3.941831433041907e-07, 'weighted_error': 1.0005168245650002, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 5.810456484186174e-06, 'weighted_error': 1.00124054263724, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 2.714055067871329e-05, 'weighted_error': 1.0162285586818764, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.0005579056382468259, 'weighted_error': 1.057354573407632, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.002220919743854262, 'weighted_error': 1.1985310586161537, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.05480700744048576, 'weighted_error': 3.895447558940539, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.21648454367059447, 'weighted_error': 4.656783104558922, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 2.427268073233632e-09, 'weighted_error': 1.0709423289255544, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 1.9162001716528467e-08, 'weighted_error': 3.0167727112894958, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 2.1546845854891631e-07, 'weighted_error': 3.0758535001671397, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 8.340231410973006e-07, 'weighted_error': 4.185656442437276, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 2.1610114222462124e-05, 'weighted_error': 219.81386459547304, 'gamma': 6700000.0}
