{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0024963209843268494, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 1.013999219079395}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0011466486536485115, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 1.0064302491545578}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 9.621834937950563e-14, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 0.9999999999995803}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 9.621834937950563e-14, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 0.9999999999995803}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 9.621834937950563e-14, 'shap_norm_sq': 5.0266752698027695, 'weighted_error': 0.9999999999995803}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.009961986892656484, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 1.063139715246724}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0006981405126100695, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 1.0044249026665033}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0005657176979496574, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 1.0035855701144236}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.6374254482577537e-13, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 0.9999999999990066}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.6374254482577537e-13, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 0.9999999999990066}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.6374254482577537e-13, 'shap_norm_sq': 0.4866434826863054, 'weighted_error': 0.9999999999990066}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0010757646995513419, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 1.038946581107451}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00022290542524595005, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 1.0080697951655582}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00020569028262765773, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 1.0074469070252836}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.1675466888295712e-13, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 0.9999999999961966}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.1675466888295712e-13, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 0.9999999999961966}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.1675466888295712e-13, 'shap_norm_sq': 7.517264471443485, 'weighted_error': 0.9999999999961966}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.004206668211713195, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 1.0166947524857934}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00043176022915465017, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 1.0017135106175992}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0006736739837003995, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 1.0026735556739772}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.3765629550880376e-13, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 0.9999999999994421}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.3765629550880376e-13, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 0.9999999999994421}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.3765629550880376e-13, 'shap_norm_sq': 0.8028128452798684, 'weighted_error': 0.9999999999994421}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0027966164110776862, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 1.0593483801429744}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00036189225001017174, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 1.0076797377798994}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0001950926506884713, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 1.0041402767020324}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.4781067334690453e-13, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 0.9999999999973542}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.4781067334690453e-13, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 0.9999999999973542}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.4781067334690453e-13, 'shap_norm_sq': 4.3249478281854286, 'weighted_error': 0.9999999999973542}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.002420004785668764, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 1.0411110467593667}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00011055812654397535, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 1.0018781942360866}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00011135984234762382, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 1.001891837509525}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 5.606829354747006e-14, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 0.9999999999991849}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 5.606829354747006e-14, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 0.9999999999991849}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 5.606829354747006e-14, 'shap_norm_sq': 3.8147497514361675, 'weighted_error': 0.9999999999991849}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00868077945121893, 'shap_norm_sq': 6.173454231813274, 'weighted_error': 1.0225024612797178}
