{'sample_size': 1000, 'difference': -984, 'noise': 0.005, 'n': 4, 'shap_error': 1.5567288096891607e-05, 'weighted_error': 4.397867043758512, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.01, 'n': 4, 'shap_error': 5.4443024195553574e-05, 'weighted_error': 12.69316075852121, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.05, 'n': 4, 'shap_error': 0.0017320502915843439, 'weighted_error': 383.3002488934238, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.1, 'n': 4, 'shap_error': 0.006226955905435743, 'weighted_error': 1360.1468184145936, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.5, 'n': 4, 'shap_error': 0.09661821695013591, 'weighted_error': 19658.33455948283, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 1, 'n': 4, 'shap_error': 0.38647294586691305, 'weighted_error': 78630.33823793821, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.0005, 'n': 4, 'shap_error': 1.7344660491918295e-07, 'weighted_error': 1.0018781701040256, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': -984, 'noise': 0.001, 'n': 4, 'shap_error': 6.934913338359199e-07, 'weighted_error': 1.0075126337425733, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': -984, 'noise': 0.005, 'n': 4, 'shap_error': 1.4997014510962706e-05, 'weighted_error': 1.133095270293254, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': -984, 'noise': 0.01, 'n': 4, 'shap_error': 4.8711069059972e-05, 'weighted_error': 1.2682013606228106, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': -984, 'noise': 0.05, 'n': 4, 'shap_error': 0.0017223842140370001, 'weighted_error': 19.53170259086932, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': -984, 'noise': 0.1, 'n': 4, 'shap_error': 0.005926681463312118, 'weighted_error': 52.560727724114706, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': -984, 'noise': 0.5, 'n': 4, 'shap_error': 0.15110368810236016, 'weighted_error': 1358.8508541385224, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': -984, 'noise': 1, 'n': 4, 'shap_error': 0.49252604805206107, 'weighted_error': 2810.0453958292533, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': -984, 'noise': 0.0005, 'n': 4, 'shap_error': 8.267604264750625e-08, 'weighted_error': 1.0000279991262278, 'gamma': 250.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.001, 'n': 4, 'shap_error': 4.1036420053697566e-07, 'weighted_error': 1.000202281089772, 'gamma': 250.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.005, 'n': 4, 'shap_error': 8.457882753373817e-06, 'weighted_error': 1.0030222415066472, 'gamma': 250.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.01, 'n': 4, 'shap_error': 3.309936570324764e-05, 'weighted_error': 1.0112606585807613, 'gamma': 250.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.05, 'n': 4, 'shap_error': 0.0008463018954428611, 'weighted_error': 1.3028643151007546, 'gamma': 250.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.1, 'n': 4, 'shap_error': 0.004101439681965283, 'weighted_error': 3.0228112870383916, 'gamma': 250.0}
{'sample_size': 1000, 'difference': -984, 'noise': 0.5, 'n': 4, 'shap_error': 0.08274539405838044, 'weighted_error': 29.151646549203715, 'gamma': 250.0}
{'sample_size': 1000, 'difference': -984, 'noise': 1, 'n': 4, 'shap_error': 0.4714324457106194, 'weighted_error': 272.7110019461379, 'gamma': 250.0}
