{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.1343444855103825e-05), 'weighted_error': np.float64(1.189714559311756)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(6.559541302847263e-05), 'weighted_error': np.float64(1.3988017173012297)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.669880786314765e-05), 'weighted_error': np.float64(1.2115640458549788)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.880050909579056e-05), 'weighted_error': np.float64(1.2358465927405045)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.601938552772233e-05), 'weighted_error': np.float64(1.2191583502339038)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(4.047173964331277e-05), 'weighted_error': np.float64(1.2353155638065005)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0011110448407710702), 'weighted_error': np.float64(2.0756559471690585)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0017385186815820361), 'weighted_error': np.float64(2.74728133488783)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0016118607137941), 'weighted_error': np.float64(2.5897874102798877)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0014233316425341861), 'weighted_error': np.float64(2.3432533578794184)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.001801906005072314), 'weighted_error': np.float64(2.7523393841886374)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0017522874493628706), 'weighted_error': np.float64(2.739349354403171)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.01746424259948239), 'weighted_error': np.float64(2.126952431112011)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.004219718984715006), 'weighted_error': np.float64(1.2482194200374417)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.007640990076048588), 'weighted_error': np.float64(1.4856079999357303)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00776622213001303), 'weighted_error': np.float64(1.4939975781061172)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.007357494822811496), 'weighted_error': np.float64(1.4739448597346139)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00793302795622612), 'weighted_error': np.float64(1.5134657280597519)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0027562071022961994), 'weighted_error': np.float64(1.8205900114847349)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0029088165676944186), 'weighted_error': np.float64(1.8743670056961508)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0026352992611481537), 'weighted_error': np.float64(1.7767896383187523)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0033532765433254576), 'weighted_error': np.float64(1.972974097678411)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0030776548252960984), 'weighted_error': np.float64(1.9179248384898397)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0029862980081326596), 'weighted_error': np.float64(1.8735296880646544)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.005292409383401766), 'weighted_error': np.float64(1.7971876252684331)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.002273425506123947), 'weighted_error': np.float64(1.3186275150799531)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0028200698940118955), 'weighted_error': np.float64(1.382816450202063)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.002548172775697024), 'weighted_error': np.float64(1.3609152478099322)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0032644863388363136), 'weighted_error': np.float64(1.4511693054756822)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.003302718564585434), 'weighted_error': np.float64(1.4625399546856896)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0014717562607904405), 'weighted_error': np.float64(1.8553668901764644)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0013807451575789075), 'weighted_error': np.float64(1.7387730215218082)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0013174541707216484), 'weighted_error': np.float64(1.7524100980814465)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.001027119282237779), 'weighted_error': np.float64(1.593406439695749)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0009404579310415558), 'weighted_error': np.float64(1.5415739485504312)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0006945406780186732), 'weighted_error': np.float64(1.4038123606115243)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(5.284993090016448e-05), 'weighted_error': np.float64(1.0876805835524068)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00016042280333610498), 'weighted_error': np.float64(1.2569287527377544)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0001709935025074469), 'weighted_error': np.float64(1.2839984656173393)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0001699235577901324), 'weighted_error': np.float64(1.282878482295515)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00012462415315139198), 'weighted_error': np.float64(1.2076193521826182)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00013214684950961495), 'weighted_error': np.float64(1.2201000327918297)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(5.107088647352809e-05), 'weighted_error': np.float64(1.5793291264609062)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(6.240598074650592e-05), 'weighted_error': np.float64(1.7001420039085242)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(6.0761235624446905e-05), 'weighted_error': np.float64(1.674001928073239)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(7.263940452775456e-05), 'weighted_error': np.float64(1.8222625231486211)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(5.4308025701832524e-05), 'weighted_error': np.float64(1.5976339153701)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(6.983639273320749e-05), 'weighted_error': np.float64(1.7722029361661416)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.003593209204000559), 'weighted_error': np.float64(1.5591353936471446)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0032978983919776834), 'weighted_error': np.float64(1.4648081113835798)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.004304461161405484), 'weighted_error': np.float64(1.6189556478178269)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00439841392664883), 'weighted_error': np.float64(1.6377697963436442)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.003974063689115441), 'weighted_error': np.float64(1.5603001386130946)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0040035413094496475), 'weighted_error': np.float64(1.5768455458553765)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.4384051772517194e-05), 'weighted_error': np.float64(3.5660109033201146)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.5862270783273708e-05), 'weighted_error': np.float64(2.636463849867255)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.5629273917617743e-05), 'weighted_error': np.float64(2.577339448563257)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.6734129081253305e-05), 'weighted_error': np.float64(2.7160671292463046)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.5911921658746597e-05), 'weighted_error': np.float64(2.6186640962310688)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.6323860693651203e-05), 'weighted_error': np.float64(2.665963922149927)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.002045292978345437), 'weighted_error': np.float64(4.129213912821793)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.001570040906707488), 'weighted_error': np.float64(3.349991888203938)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.001611662879917664), 'weighted_error': np.float64(3.3695769912205416)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0015163859048455983), 'weighted_error': np.float64(3.301119934192314)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.001449329837665497), 'weighted_error': np.float64(3.2002894169737055)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0013891205011450638), 'weighted_error': np.float64(3.105464551824368)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.550513492502539e-05), 'weighted_error': np.float64(1.4173563193154215)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(6.753838147278496e-05), 'weighted_error': np.float64(1.2974351647762008)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(8.842021298675548e-05), 'weighted_error': np.float64(1.389499577809064)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(5.710884579301775e-05), 'weighted_error': np.float64(1.2502596932838779)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(6.723884017448024e-05), 'weighted_error': np.float64(1.2930869778257057)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(6.76163850618364e-05), 'weighted_error': np.float64(1.2950038045709935)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.203718090154452e-05), 'weighted_error': np.float64(1.0546909558702375)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(4.357030100378919e-05), 'weighted_error': np.float64(1.1009907382552648)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.577919667465695e-05), 'weighted_error': np.float64(1.2376486457641087)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00010233576719561459), 'weighted_error': np.float64(1.2535690513813231)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(8.709309125271811e-05), 'weighted_error': np.float64(1.2157673076396336)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(7.321681304755006e-05), 'weighted_error': np.float64(1.181700448967355)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.609799648044031e-05), 'weighted_error': np.float64(1.7470512369961047)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.9659255960241967e-05), 'weighted_error': np.float64(1.4148551913673622)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.4996217571902533e-05), 'weighted_error': np.float64(1.3158015309171556)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.2771631947910254e-05), 'weighted_error': np.float64(1.466648505715742)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.1207318120289624e-05), 'weighted_error': np.float64(1.4402369420202064)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.0878743413225953e-05), 'weighted_error': np.float64(1.440099956811164)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007026625260689589), 'weighted_error': np.float64(3.5111583114347025)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0009650664930249238), 'weighted_error': np.float64(4.184599337961397)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0008497361921518272), 'weighted_error': np.float64(3.899292186097711)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.000793735665618694), 'weighted_error': np.float64(3.6928172810616022)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007703596255395733), 'weighted_error': np.float64(3.597678255926485)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007639426000508827), 'weighted_error': np.float64(3.6122705333277882)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.5096711591839494e-05), 'weighted_error': np.float64(1.2711020605324714)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.1591982396399696e-05), 'weighted_error': np.float64(1.127362312970326)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.217376880778413e-06), 'weighted_error': np.float64(1.0984677076484615)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.606015232314429e-05), 'weighted_error': np.float64(1.1763345015377977)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(8.076096919604756e-06), 'weighted_error': np.float64(1.0879809754390657)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.00877726714299e-06), 'weighted_error': np.float64(1.0972061414831304)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007245524220417901), 'weighted_error': np.float64(2.3023113004952345)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0002780150795968643), 'weighted_error': np.float64(1.4993150894668872)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0003791149686238192), 'weighted_error': np.float64(1.6872348290571195)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0004695277031699743), 'weighted_error': np.float64(1.842486965756377)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0004572437417902323), 'weighted_error': np.float64(1.8189793631264133)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0005068389290537339), 'weighted_error': np.float64(1.9035896109887358)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.004048827776572997), 'weighted_error': np.float64(1.5338492978113658)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.003226406164765079), 'weighted_error': np.float64(1.4355237731760195)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0032883955889414875), 'weighted_error': np.float64(1.4628901161443564)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.002725069360171761), 'weighted_error': np.float64(1.3842332733415295)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0029738843497675795), 'weighted_error': np.float64(1.4086408335232192)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0028308140736569127), 'weighted_error': np.float64(1.388344856401573)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0011216263404233357), 'weighted_error': np.float64(1.648495926580392)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0006690669241667132), 'weighted_error': np.float64(1.4700177575790576)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0008982193599712255), 'weighted_error': np.float64(1.6250333228353169)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007793046386463963), 'weighted_error': np.float64(1.5281599025501877)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007768820083844365), 'weighted_error': np.float64(1.5318504368456543)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00078880846290392), 'weighted_error': np.float64(1.540501943540456)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.5985269095025684e-05), 'weighted_error': np.float64(1.3774610056884016)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.9416730986780426e-05), 'weighted_error': np.float64(1.3195756633558178)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.2758853861903005e-05), 'weighted_error': np.float64(1.36047950273195)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.1242972728047464e-05), 'weighted_error': np.float64(1.3462994038593203)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.027468850267003e-05), 'weighted_error': np.float64(1.3333120470023836)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.8989545568527794e-05), 'weighted_error': np.float64(1.3077517567813035)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.001823648179570551), 'weighted_error': np.float64(3.5409491617813704)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0022709225111568845), 'weighted_error': np.float64(3.9293022810237366)}
