{'sample_size': 1000, 'noise': 1, 'shap_error': 0.026832716194472958, 'weighted_error': 18.520332795309848, 'gamma': 0.1}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.5113870663284778e-06, 'weighted_error': 1.0080254569930251, 'gamma': 70.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 5.206206200640116e-07, 'weighted_error': 1.002753303777192, 'gamma': 70.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 2.653378149277116e-06, 'weighted_error': 1.0140446325428163, 'gamma': 70.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 4.0758746729084545e-06, 'weighted_error': 1.0205227043426102, 'gamma': 70.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 3.6042611514802306e-06, 'weighted_error': 1.014657882443363, 'gamma': 70.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 2.7566975899754193e-05, 'weighted_error': 1.0343617188140555, 'gamma': 70.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.0001597270136104603, 'weighted_error': 1.4000743990359144, 'gamma': 70.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.0031803794371674412, 'weighted_error': 6.685916313850073, 'gamma': 70.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.015336711655361537, 'weighted_error': 37.630325918180304, 'gamma': 70.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 7.0605673998030285e-06, 'weighted_error': 1.0131160596497628, 'gamma': 2.3}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 7.990918097460444e-06, 'weighted_error': 1.0148413110600605, 'gamma': 2.3}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 9.605307038727453e-06, 'weighted_error': 1.017831235701901, 'gamma': 2.3}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 4.657130346935863e-06, 'weighted_error': 1.0083499361002768, 'gamma': 2.3}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 6.690677820278463e-06, 'weighted_error': 1.0112234412537966, 'gamma': 2.3}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 3.502671821585779e-05, 'weighted_error': 1.0349305159282265, 'gamma': 2.3}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 8.554530655171149e-05, 'weighted_error': 1.0383657926483085, 'gamma': 2.3}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.0023692990407430128, 'weighted_error': 2.387636669079687, 'gamma': 2.3}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.009936104068072984, 'weighted_error': 7.403036784001591, 'gamma': 2.3}
{'sample_size': 1000, 'noise': 0, 'shap_error': 3.7055188167797564e-07, 'weighted_error': 1.0063167633608385, 'gamma': 42.7}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 3.231746136691976e-06, 'weighted_error': 1.055069479151804, 'gamma': 42.7}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 6.09689925960987e-07, 'weighted_error': 1.0103052173026918, 'gamma': 42.7}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 2.7801334746842497e-06, 'weighted_error': 1.0451899628927324, 'gamma': 42.7}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 1.787439374486322e-06, 'weighted_error': 1.0216588003625449, 'gamma': 42.7}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 4.470621025112583e-05, 'weighted_error': 1.5418147352775007, 'gamma': 42.7}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.00022629987083738884, 'weighted_error': 3.976563395874642, 'gamma': 42.7}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.006907610834329112, 'weighted_error': 96.72470362542947, 'gamma': 42.7}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.01887459945465157, 'weighted_error': 234.63851374124286, 'gamma': 42.7}
{'sample_size': 1000, 'noise': 0, 'shap_error': 2.2538205152261166e-06, 'weighted_error': 1.0125533850115707, 'gamma': 1140.3}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 1.080275245898802e-06, 'weighted_error': 1.006015161864903, 'gamma': 1140.3}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 1.1341425023102632e-06, 'weighted_error': 1.0063099002750557, 'gamma': 1140.3}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 1.2073447531464733e-06, 'weighted_error': 1.0065482206302838, 'gamma': 1140.3}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 2.21571705586002e-06, 'weighted_error': 1.0116353081661342, 'gamma': 1140.3}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 2.9911272984495186e-05, 'weighted_error': 1.1489542388738443, 'gamma': 1140.3}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 7.149344552722605e-05, 'weighted_error': 1.3276209241989576, 'gamma': 1140.3}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.0019060966895184976, 'weighted_error': 9.851999130183511, 'gamma': 1140.3}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.007943712340970197, 'weighted_error': 38.18658474412467, 'gamma': 1140.3}
