{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.5482237733345156, 'weighted_error': 1.0067839729212058, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.5508133770822035, 'weighted_error': 1.0067097444497994, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.706544826483356, 'weighted_error': 1.0106628242738105, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.476948036111151, 'weighted_error': 1.0029800094900243, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 1.8103005969756971, 'weighted_error': 1.0113110953278184, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 1.3295578140915723, 'weighted_error': 1.0083073179761444, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.5028374979341298, 'weighted_error': 1.00314183830577, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 2.1742025037533845, 'weighted_error': 1.0135844111619838, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 2.956389195435071, 'weighted_error': 1.0184699307933185, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.49254653543916893, 'weighted_error': 1.0030285655088926, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 1.4319772568904876, 'weighted_error': 1.0087515059840477, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 2.3440915472575368, 'weighted_error': 1.0148031565263043, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.8128874718615837, 'weighted_error': 1.0051334483309704, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 1.251726053049349, 'weighted_error': 1.0079047787599893, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.966144627075337, 'weighted_error': 1.0061013124626201, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 2.707263026406855, 'weighted_error': 1.0170966271620043, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.7041907843140444, 'weighted_error': 1.0044466327650463, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 2.346714210769109, 'weighted_error': 1.0148180762100276, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.7656102520083226, 'weighted_error': 1.0047922392626327, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 1.3733389830260718, 'weighted_error': 1.0085020474293678, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.2872633296654641, 'weighted_error': 1.0104694774797724, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.18604136936961307, 'weighted_error': 1.0067802906841363, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.2675137053305639, 'weighted_error': 1.009749828239432, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.6413805066858781, 'weighted_error': 1.0233756238319265, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.3164688117096594, 'weighted_error': 1.0115337109205378, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.3530693477207326, 'weighted_error': 1.012867802736372, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.22935436968362272, 'weighted_error': 1.0083589218802793, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.31559420324739956, 'weighted_error': 1.011502064207404, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.07117784050078141, 'weighted_error': 1.0025941475505926, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.2758934720525902, 'weighted_error': 1.008543267575547, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.25462742061136245, 'weighted_error': 1.0078847532972723, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.51569399504939, 'weighted_error': 1.0159687489514986, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.22823854044262087, 'weighted_error': 1.0070674913587712, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.30341432980966243, 'weighted_error': 1.0093953853418343, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.23958828826239187, 'weighted_error': 1.0074164952655176, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.2081342690886318, 'weighted_error': 1.0064346864329694, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.3123415183238582, 'weighted_error': 1.0094143703378202, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.3137211350871051, 'weighted_error': 1.008684963964485, 'gamma': 0.0}
