{'sample_size': 1000, 'difference': 2, 'noise': 0.5, 'n': 10, 'shap_error': 0.028040235422078248, 'weighted_error': 1.0004786333816382}
{'sample_size': 1000, 'difference': 2, 'noise': 1, 'n': 10, 'shap_error': 0.03390749796054845, 'weighted_error': 1.0005784575209695}
{'sample_size': 1000, 'difference': 2, 'noise': 0.0005, 'n': 10, 'shap_error': 0.13273002928049737, 'weighted_error': 1.0003340062063724}
{'sample_size': 1000, 'difference': 2, 'noise': 0.001, 'n': 10, 'shap_error': 0.1327345379093796, 'weighted_error': 1.0003340175454312}
{'sample_size': 1000, 'difference': 2, 'noise': 0.005, 'n': 10, 'shap_error': 0.13277151682303162, 'weighted_error': 1.0003341105003434}
{'sample_size': 1000, 'difference': 2, 'noise': 0.01, 'n': 10, 'shap_error': 0.13282001517151862, 'weighted_error': 1.0003342323000814}
{'sample_size': 1000, 'difference': 2, 'noise': 0.05, 'n': 10, 'shap_error': 0.13329899021650074, 'weighted_error': 1.0003354309419046}
{'sample_size': 1000, 'difference': 2, 'noise': 0.1, 'n': 10, 'shap_error': 0.1341251796654207, 'weighted_error': 1.0003374898539796}
{'sample_size': 1000, 'difference': 2, 'noise': 0.5, 'n': 10, 'shap_error': 0.14983352096449534, 'weighted_error': 1.000376385542425}
{'sample_size': 1000, 'difference': 2, 'noise': 1, 'n': 10, 'shap_error': 0.1922160118575888, 'weighted_error': 1.0004810661325958}
{'sample_size': 1000, 'difference': 2, 'noise': 0.0005, 'n': 10, 'shap_error': 0.020096062133158028, 'weighted_error': 1.0002499725363236}
{'sample_size': 1000, 'difference': 2, 'noise': 0.001, 'n': 10, 'shap_error': 0.02010305839760782, 'weighted_error': 1.0002500595493948}
{'sample_size': 1000, 'difference': 2, 'noise': 0.005, 'n': 10, 'shap_error': 0.020159434072721038, 'weighted_error': 1.000250760483558}
{'sample_size': 1000, 'difference': 2, 'noise': 0.01, 'n': 10, 'shap_error': 0.020230917565401584, 'weighted_error': 1.000251648725241}
{'sample_size': 1000, 'difference': 2, 'noise': 0.05, 'n': 10, 'shap_error': 0.02084334145869287, 'weighted_error': 1.0002592376178816}
{'sample_size': 1000, 'difference': 2, 'noise': 0.1, 'n': 10, 'shap_error': 0.021710261204832285, 'weighted_error': 1.000269931131623}
{'sample_size': 1000, 'difference': 2, 'noise': 0.5, 'n': 10, 'shap_error': 0.032701214354909136, 'weighted_error': 1.0004037751591757}
{'sample_size': 1000, 'difference': 2, 'noise': 1, 'n': 10, 'shap_error': 0.05657889374493232, 'weighted_error': 1.000691819987669}
{'sample_size': 1000, 'difference': 2, 'noise': 0.0005, 'n': 10, 'shap_error': 0.03508811819991832, 'weighted_error': 1.0002192470526798}
{'sample_size': 1000, 'difference': 2, 'noise': 0.001, 'n': 10, 'shap_error': 0.035076995077739884, 'weighted_error': 1.0002191774560705}
{'sample_size': 1000, 'difference': 2, 'noise': 0.005, 'n': 10, 'shap_error': 0.034988922820339434, 'weighted_error': 1.0002186243265363}
{'sample_size': 1000, 'difference': 2, 'noise': 0.01, 'n': 10, 'shap_error': 0.034881114298639604, 'weighted_error': 1.0002179420229693}
{'sample_size': 1000, 'difference': 2, 'noise': 0.05, 'n': 10, 'shap_error': 0.03410991812713664, 'weighted_error': 1.0002128479284504}
{'sample_size': 1000, 'difference': 2, 'noise': 0.1, 'n': 10, 'shap_error': 0.03337410291798638, 'weighted_error': 1.0002073911453508}
{'sample_size': 1000, 'difference': 2, 'noise': 0.5, 'n': 10, 'shap_error': 0.03661478145396532, 'weighted_error': 1.0002001702824914}
{'sample_size': 1000, 'difference': 2, 'noise': 1, 'n': 10, 'shap_error': 0.06348363014689087, 'weighted_error': 1.0002822277087642}
{'sample_size': 1000, 'difference': 2, 'noise': 0.0005, 'n': 10, 'shap_error': 0.02794885515633269, 'weighted_error': 1.0001764954016041}
{'sample_size': 1000, 'difference': 2, 'noise': 0.001, 'n': 10, 'shap_error': 0.027944221745256494, 'weighted_error': 1.0001764661015413}
{'sample_size': 1000, 'difference': 2, 'noise': 0.005, 'n': 10, 'shap_error': 0.027907651476411256, 'weighted_error': 1.0001762339056988}
{'sample_size': 1000, 'difference': 2, 'noise': 0.01, 'n': 10, 'shap_error': 0.027863181189813097, 'weighted_error': 1.0001759491725386}
{'sample_size': 1000, 'difference': 2, 'noise': 0.05, 'n': 10, 'shap_error': 0.02755712087534564, 'weighted_error': 1.0001738917729983}
{'sample_size': 1000, 'difference': 2, 'noise': 0.1, 'n': 10, 'shap_error': 0.027298800428058618, 'weighted_error': 1.0001718711879217}
{'sample_size': 1000, 'difference': 2, 'noise': 0.5, 'n': 10, 'shap_error': 0.030202434681430208, 'weighted_error': 1.0001777530812634}
{'sample_size': 1000, 'difference': 2, 'noise': 1, 'n': 10, 'shap_error': 0.04625747207737729, 'weighted_error': 1.0002402218828266}
{'sample_size': 1000, 'difference': 2, 'noise': 0.0005, 'n': 10, 'shap_error': 0.009124212391595417, 'weighted_error': 1.0003325540509875}
{'sample_size': 1000, 'difference': 2, 'noise': 0.001, 'n': 10, 'shap_error': 0.009119276296812135, 'weighted_error': 1.000332373160595}
{'sample_size': 1000, 'difference': 2, 'noise': 0.005, 'n': 10, 'shap_error': 0.00908086151607523, 'weighted_error': 1.0003309410294752}
{'sample_size': 1000, 'difference': 2, 'noise': 0.01, 'n': 10, 'shap_error': 0.009035527983985839, 'weighted_error': 1.0003291883456222}
{'sample_size': 1000, 'difference': 2, 'noise': 0.05, 'n': 10, 'shap_error': 0.008780257480542607, 'weighted_error': 1.0003166660766758}
{'sample_size': 1000, 'difference': 2, 'noise': 0.1, 'n': 10, 'shap_error': 0.008729663734416596, 'weighted_error': 1.0003047612451859}
{'sample_size': 1000, 'difference': 2, 'noise': 0.5, 'n': 10, 'shap_error': 0.019064689092502352, 'weighted_error': 1.0003594427810043}
{'sample_size': 1000, 'difference': 2, 'noise': 1, 'n': 10, 'shap_error': 0.05883290910785259, 'weighted_error': 1.00080259517012}
{'sample_size': 1000, 'difference': 2, 'noise': 0.0005, 'n': 10, 'shap_error': 0.005302092473916133, 'weighted_error': 1.0001641891952002}
{'sample_size': 1000, 'difference': 2, 'noise': 0.001, 'n': 10, 'shap_error': 0.005295216243930647, 'weighted_error': 1.0001639757641585}
{'sample_size': 1000, 'difference': 2, 'noise': 0.005, 'n': 10, 'shap_error': 0.005241482449337101, 'weighted_error': 1.0001622960889693}
{'sample_size': 1000, 'difference': 2, 'noise': 0.01, 'n': 10, 'shap_error': 0.0051775053193216175, 'weighted_error': 1.0001602659278397}
{'sample_size': 1000, 'difference': 2, 'noise': 0.05, 'n': 10, 'shap_error': 0.004793292808260345, 'weighted_error': 1.000146801953094}
{'sample_size': 1000, 'difference': 2, 'noise': 0.1, 'n': 10, 'shap_error': 0.004632038492094448, 'weighted_error': 1.0001369152703847}
{'sample_size': 1000, 'difference': 2, 'noise': 0.5, 'n': 10, 'shap_error': 0.01610245686918787, 'weighted_error': 1.000335553237649}
{'sample_size': 1000, 'difference': 2, 'noise': 1, 'n': 10, 'shap_error': 0.0623416121066083, 'weighted_error': 1.001278179269072}
