{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.027529309400980244, 'weighted_error': 1.0010033174558295, 'gamma': 8.9e-05}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.014295344772785771, 'weighted_error': 1.0005209862606885, 'gamma': 8.9e-05}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.013978019210433113, 'weighted_error': 1.0005094484801098, 'gamma': 8.9e-05}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.005117703354869943, 'weighted_error': 1.0001865117605273, 'gamma': 8.9e-05}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.016532255754089918, 'weighted_error': 1.0005119330693149, 'gamma': 2.4e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0164491014183715, 'weighted_error': 1.000509362011169, 'gamma': 2.4e-05}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02150481662298185, 'weighted_error': 1.0006658995748583, 'gamma': 2.4e-05}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.003328614113241795, 'weighted_error': 1.0001030705651486, 'gamma': 2.4e-05}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0032511518488269825, 'weighted_error': 1.0001006662210445, 'gamma': 2.4e-05}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0010223523129837123, 'weighted_error': 1.0000316584220303, 'gamma': 2.4e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.09300116475687842, 'weighted_error': 1.0014141687929872, 'gamma': 1.5e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.2957897744727527, 'weighted_error': 1.004497929874135, 'gamma': 1.5e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 0.020194626695132056, 'weighted_error': 1.0003070966154535, 'gamma': 1.5e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.056012520407139985, 'weighted_error': 1.0008518384162661, 'gamma': 1.5e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 10, 'shap_error': 0.22650774649688593, 'weighted_error': 1.0034443353940337, 'gamma': 1.5e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 10, 'shap_error': 0.02168872434277615, 'weighted_error': 1.0003277700965036, 'gamma': 1.5e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 10, 'shap_error': 0.09622976362304557, 'weighted_error': 1.0014553196358562, 'gamma': 1.5e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 10, 'shap_error': 0.11057951457818227, 'weighted_error': 1.0014796583164527, 'gamma': 1.5e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 0.08940412671243629, 'weighted_error': 1.0005514361718566, 'gamma': 1.5e-05}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.000200259878824844, 'weighted_error': 1.000003850646232, 'gamma': 0.00016}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.00030025621744794804, 'weighted_error': 1.0000057710245156, 'gamma': 0.00016}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 10, 'shap_error': 9.444511633414408e-05, 'weighted_error': 1.0000018144744158, 'gamma': 0.00016}
