{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 6.15687559969493e-09, 'weighted_error': 1.0000227845882748, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 1.6243595804195275e-08, 'weighted_error': 1.0000600300485931, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 4.1213958986404007e-07, 'weighted_error': 1.0015231510699263, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 1.6950151634983797e-06, 'weighted_error': 1.0062649456935644, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 4.3478242994957495e-05, 'weighted_error': 1.1607150365615393, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.00017450783589024058, 'weighted_error': 1.645066984843674, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.004374766903290874, 'weighted_error': 17.1714559589874, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.017505146548137566, 'weighted_error': 65.70837564638362, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0, 'shap_error': 7.207033132069408e-08, 'weighted_error': 1.0000451101333308, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 5.56617795637134e-08, 'weighted_error': 1.0000343918837296, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 5.5505587891914614e-08, 'weighted_error': 1.0000329480403956, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 6.393410175846263e-07, 'weighted_error': 1.0003552759193384, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 2.83184771236764e-06, 'weighted_error': 1.0015928823320546, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 7.888039757731775e-05, 'weighted_error': 1.0448815961952929, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0003202123256752203, 'weighted_error': 1.1824621449281116, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.008101717381127091, 'weighted_error': 5.621892790941547, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.0324557227771135, 'weighted_error': 19.518146738835515, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.3974601583434282e-08, 'weighted_error': 1.000042510249258, 'gamma': 1.9}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 3.302803410281216e-08, 'weighted_error': 1.00009925708962, 'gamma': 1.9}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 6.568058221576838e-08, 'weighted_error': 1.000194945939485, 'gamma': 1.9}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 8.164691284881898e-07, 'weighted_error': 1.0023623690805041, 'gamma': 1.9}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 2.9788752147506817e-06, 'weighted_error': 1.0085764288620307, 'gamma': 1.9}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 6.923494004172874e-05, 'weighted_error': 1.1984801413243344, 'gamma': 1.9}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0002744470614176468, 'weighted_error': 1.7863378674274442, 'gamma': 1.9}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.006811825646112817, 'weighted_error': 20.508323097261517, 'gamma': 1.9}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.027222752911201308, 'weighted_error': 78.95861318707699, 'gamma': 1.9}
{'sample_size': 4000, 'noise': 0, 'shap_error': 5.3801064399001296e-08, 'weighted_error': 1.000035852574171, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 7.644463393975791e-08, 'weighted_error': 1.0000508352191073, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 1.083770047252159e-07, 'weighted_error': 1.0000717910709562, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 6.982328158111592e-07, 'weighted_error': 1.0004544733346021, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 2.2715446916763298e-06, 'weighted_error': 1.0014704147862987, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 4.829772417888874e-05, 'weighted_error': 1.031101491285394, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.00018942965973864261, 'weighted_error': 1.1218991991230833, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.0046624535922461414, 'weighted_error': 3.9986353503773424, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.018613654627954116, 'weighted_error': 12.970441760826986, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 8.983810393400717e-09, 'weighted_error': 1.0000477041558575, 'gamma': 1.4}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 9.889212723491233e-09, 'weighted_error': 1.000050956707633, 'gamma': 1.4}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 1.9809634158275494e-08, 'weighted_error': 1.0000989686597188, 'gamma': 1.4}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 4.2371369340546e-07, 'weighted_error': 1.002094402687585, 'gamma': 1.4}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 1.7399454868867422e-06, 'weighted_error': 1.0086170412503637, 'gamma': 1.4}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 4.4723868611628816e-05, 'weighted_error': 1.2219319908704236, 'gamma': 1.4}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.00017958894445978607, 'weighted_error': 1.8914102806900794, 'gamma': 1.4}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.004503916428934234, 'weighted_error': 23.36062071103057, 'gamma': 1.4}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.018022842978750245, 'weighted_error': 90.48059402841415, 'gamma': 1.4}
{'sample_size': 4000, 'noise': 0, 'shap_error': 2.4708933607837578e-08, 'weighted_error': 1.0000458998238861, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 4.092733001141156e-08, 'weighted_error': 1.0000728880058272, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 6.878275072215112e-08, 'weighted_error': 1.0001152138891807, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 7.105589914667123e-07, 'weighted_error': 1.00100597820686, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 2.5601114800437996e-06, 'weighted_error': 1.0034998267310853, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 5.9249818894516475e-05, 'weighted_error': 1.0786663400099261, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0002348451719272477, 'weighted_error': 1.3106637943210755, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.005828936746774721, 'weighted_error': 8.68821593731425, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.02329487309179813, 'weighted_error': 31.714087387315683, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.3538124011466932e-09, 'weighted_error': 1.0000230768316525, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 4.1496424339453e-09, 'weighted_error': 1.0000381548259314, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 1.3753768865272317e-08, 'weighted_error': 1.0001041305282394, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 3.356854506629132e-07, 'weighted_error': 1.0024642536357502, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 1.3508467287775211e-06, 'weighted_error': 1.0099952012427542, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 3.39820039883969e-05, 'weighted_error': 1.2534745310034137, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.00013604561814967715, 'weighted_error': 2.015903065465803, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.0034035412349101703, 'weighted_error': 26.438506231627628, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.013615377514536396, 'weighted_error': 102.77469741548649, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0, 'shap_error': 2.561143510679109e-09, 'weighted_error': 1.0000142651283388, 'gamma': 2.6}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 1.7485998463208976e-09, 'weighted_error': 1.0000097396450611, 'gamma': 2.6}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 4.032781211364569e-09, 'weighted_error': 1.0000224623689187, 'gamma': 2.6}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 1.3378833319019209e-07, 'weighted_error': 1.000745179616652, 'gamma': 2.6}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 5.746880258099159e-07, 'weighted_error': 1.0032009148184966, 'gamma': 2.6}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 1.5250095672615382e-05, 'weighted_error': 1.0849403421203698, 'gamma': 2.6}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 6.146488049574124e-05, 'weighted_error': 1.342348490465506, 'gamma': 2.6}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.0015460041696655083, 'weighted_error': 9.610968245938382, 'gamma': 2.6}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.006188730807589641, 'weighted_error': 35.47012936205907, 'gamma': 2.6}
