{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0012812622201256413, 'weighted_error': 1.0014850785237575}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.0027037003636976786, 'weighted_error': 1.0031332175430117}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.005568287515909223, 'weighted_error': 1.0064249482762495}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0015391738301734365, 'weighted_error': 1.0016625986073433}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.011236510845017617, 'weighted_error': 1.0099817797868562}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.01565372115605321, 'weighted_error': 1.0059678633826963}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.00014505889357321184, 'weighted_error': 1.005667207119587}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.00012183920482354568, 'weighted_error': 1.004758294354153}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0005663198995706209, 'weighted_error': 1.0220747922975686}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 8.588891026945352e-05, 'weighted_error': 1.0031455824243658}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0002581451923421964, 'weighted_error': 1.0048306670125173}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0013597751157587304, 'weighted_error': 1.0321067578108678}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.015924618973238568, 'weighted_error': 1.09664318584224}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.06918812505606181, 'weighted_error': 1.601059467177898}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 8.64679020084181e-05, 'weighted_error': 1.0073395009961554}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 5.7521031632360516e-05, 'weighted_error': 1.0048824578007107}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 6.547491652746033e-05, 'weighted_error': 1.0055532697271374}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 2.3110740138498803e-05, 'weighted_error': 1.0019444970038311}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0001501010765441287, 'weighted_error': 1.0123081403338747}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.00012919141513853798, 'weighted_error': 1.0092331670508856}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0018667535668132652, 'weighted_error': 1.1151331762621812}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.0055224054229777286, 'weighted_error': 1.295462813310553}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0007609790721195325, 'weighted_error': 1.003825969179494}
