{'sample_size': 80, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.00367941247434665, 'weighted_error': 1.0063677307245376}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.10339300573338644, 'weighted_error': 1.164993609404364}
{'sample_size': 80, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.19184758523623918, 'weighted_error': 1.3578142583051018}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0002002984632759321, 'weighted_error': 1.0140766669490908}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.00026684630069117503, 'weighted_error': 1.0187527241736576}
{'sample_size': 80, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0005895352323697649, 'weighted_error': 1.0413125420873661}
{'sample_size': 80, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 9.871742114330316e-05, 'weighted_error': 1.0069305820253265}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.00013837153956838239, 'weighted_error': 1.0072650336807507}
{'sample_size': 80, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0011196968152383977, 'weighted_error': 1.0761543218158258}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.029589272923122925, 'weighted_error': 3.061586756722852}
{'sample_size': 80, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.1437418860791872, 'weighted_error': 10.235135584041478}
{'sample_size': 80, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.00015939072365735185, 'weighted_error': 1.0033388660438787}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.0003471404889280105, 'weighted_error': 1.007272015187224}
{'sample_size': 80, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.00021359250963770858, 'weighted_error': 1.0044509374277035}
{'sample_size': 80, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.0002611002683785196, 'weighted_error': 1.0053760271508179}
{'sample_size': 80, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0004898008224179465, 'weighted_error': 1.0102410635814372}
{'sample_size': 80, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.005799246412033622, 'weighted_error': 1.1064086202585608}
{'sample_size': 80, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.021943178390619773, 'weighted_error': 1.4358067919359703}
{'sample_size': 80, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.08527604719474297, 'weighted_error': 2.6243562380695304}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0038623862916917114, 'weighted_error': 1.0044777401740452}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0016658142090030328, 'weighted_error': 1.0019312146646926}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00047662684474526437, 'weighted_error': 1.0005525627975922}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0015471669940596631, 'weighted_error': 1.0017936739122406}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0002506415167092281, 'weighted_error': 1.0002905775093303}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.435522096961828e-05, 'weighted_error': 1.0000398296107633}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0007558495822385606, 'weighted_error': 1.0028910261617918}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00021609150594874431, 'weighted_error': 1.0008265160293777}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.3928489604324e-05, 'weighted_error': 1.0001297747001185}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.124853844858398e-05, 'weighted_error': 1.0000812690303362}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.217016096889329e-05, 'weighted_error': 1.0000848010099634}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.8476170373650298e-05, 'weighted_error': 1.0000706702206779}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00040255828958713017, 'weighted_error': 1.0039205135391387}
