{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 1.4133364861713926e-06, 'weighted_error': 1.0038679179111027, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 2.517082398317795e-07, 'weighted_error': 1.0006151673602723, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 2.213469574774055e-06, 'weighted_error': 1.004157971050717, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 3.5063652717649045e-06, 'weighted_error': 1.0019274610394986, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 7.521975168121911e-05, 'weighted_error': 1.0139485090799412, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0003267335349383686, 'weighted_error': 1.1268776313364803, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.009160293982152718, 'weighted_error': 6.899592146813352, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.04127047552279993, 'weighted_error': 37.32867083793804, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 8.540172305417753e-05, 'weighted_error': 1.000877853213767, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 0.00013645870460350355, 'weighted_error': 1.00140267567274, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 0.0005575558101921403, 'weighted_error': 1.0057311588648128, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 0.0005370726332527379, 'weighted_error': 1.0055204172881527, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.0006410208498821555, 'weighted_error': 1.006585395745707, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0002250283043451242, 'weighted_error': 1.0022985212047169, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.0014229244317926228, 'weighted_error': 1.0142630574983003, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.0015825505355893006, 'weighted_error': 1.0148144190664563, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 8.860061954775157e-05, 'weighted_error': 1.001255100430206, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 9.937222934524197e-05, 'weighted_error': 1.0014029242777536, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 0.00018347479072037726, 'weighted_error': 1.0024355951779702, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 8.623868058899751e-05, 'weighted_error': 1.0005553756205225, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.0015470504147922102, 'weighted_error': 1.0052466087385052, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.005049378434166535, 'weighted_error': 1.0048321918148986, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.11932168198994964, 'weighted_error': 1.0227479593153934, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.4751186047370808, 'weighted_error': 1.0602384925587112, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 2.3296103015978604e-08, 'weighted_error': 1.001655535835107, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 8.744597839818501e-08, 'weighted_error': 1.0050838298387101, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 1.747236945213803e-06, 'weighted_error': 1.0085899609140756, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 6.931848922009208e-06, 'weighted_error': 1.0189312786041518, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.00017668434175026904, 'weighted_error': 2.3860715108837987, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0006962828791286053, 'weighted_error': 3.7265538094791455, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.017341709230509508, 'weighted_error': 51.543182473113006, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.06889311291110788, 'weighted_error': 75.5111445569523, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 1.4961689850400435e-09, 'weighted_error': 1.000359516826866, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 1.2706166322308164e-08, 'weighted_error': 1.0030758790155774, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 9.847971600018895e-09, 'weighted_error': 1.0022256626233275, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 1.3674696653313975e-07, 'weighted_error': 1.032488171151374, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 5.020064993556219e-06, 'weighted_error': 2.2007373704283815, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 4.387140327115596e-06, 'weighted_error': 1.997628699857251, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.0015074045689428455, 'weighted_error': 364.8990823819737, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.001307608161410942, 'weighted_error': 311.4797143302055, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 2.072588781584872e-07, 'weighted_error': 1.0042646383885208, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 1.7703808137994124e-07, 'weighted_error': 1.0017738674363348, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 3.011708386508512e-06, 'weighted_error': 1.0111835832633098, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 1.0311849898406738e-05, 'weighted_error': 1.004064687697231, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.0002577358171039404, 'weighted_error': 1.0998776329602682, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0011370854343612437, 'weighted_error': 3.8870309712597417, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.02590901970090181, 'weighted_error': 14.154377122048299, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.1031675291319712, 'weighted_error': 42.63359592776182, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 1.4416838793321262e-06, 'weighted_error': 1.0014693993018668, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 1.7928954376482626e-06, 'weighted_error': 1.0013748367790147, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 1.765273676402228e-05, 'weighted_error': 1.0035830002290198, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 5.8540218857446406e-05, 'weighted_error': 1.0006584337331337, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.0014669972662644307, 'weighted_error': 1.0203756446769083, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.005859405040837817, 'weighted_error': 1.0717635350456542, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.1453139329006841, 'weighted_error': 1.4669176151912742, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.5870532872209151, 'weighted_error': 9.435009790627399, 'gamma': 250.0}
