{'sample_size': 1000, 'noise': 1, 'shap_error': 0.14864828915715372, 'weighted_error': 1.0022310301905757, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.0001472490166817533, 'weighted_error': 1.0000028288291745, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.00014694313053548297, 'weighted_error': 1.0000028249530348, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.00041798858702827137, 'weighted_error': 1.0000080311032615, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.00011997337175174405, 'weighted_error': 1.0000022917133853, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.0001029993251196102, 'weighted_error': 1.000001930223944, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.00011329001334933572, 'weighted_error': 1.0000009156763963, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.0005035120110268151, 'weighted_error': 1.0000046384365948, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.008324757474248254, 'weighted_error': 1.000033958333551, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.034944366301836574, 'weighted_error': 1.0001674577245128, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.02038427784300536, 'weighted_error': 1.0002218179415914, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.020207451657299088, 'weighted_error': 1.0002198967974592, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.014632758240842647, 'weighted_error': 1.0001592342024874, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.020043851762069794, 'weighted_error': 1.000218115497753, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.010864450099678166, 'weighted_error': 1.0001182223311098, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.012421335717418129, 'weighted_error': 1.000135048721088, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.022483530979443382, 'weighted_error': 1.0002441982555086, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.01017484690850862, 'weighted_error': 1.000098754351526, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.03631152176114287, 'weighted_error': 1.0003472653496, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.10105211238010899, 'weighted_error': 1.0017253926835228, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.14170880417916204, 'weighted_error': 1.0024195203478499, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.1359628516205825, 'weighted_error': 1.0023214416780413, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.22446480549393474, 'weighted_error': 1.003832509045337, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.18737541555175205, 'weighted_error': 1.0031992457787071, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.29771048022100366, 'weighted_error': 1.0050831274013061, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.099978791926434, 'weighted_error': 1.0017070477272456, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.2729756486378847, 'weighted_error': 1.0046607203492766, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.10733845028965457, 'weighted_error': 1.0018322292800372, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.0328019598786619, 'weighted_error': 1.0000825418792865, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.047109163014675166, 'weighted_error': 1.000118544042681, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.04726262056324338, 'weighted_error': 1.0001189316469696, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.013264361100387007, 'weighted_error': 1.000033381220415, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.01927410674137516, 'weighted_error': 1.0000484972781252, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.03201226867661426, 'weighted_error': 1.0000805442165563, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.03611992871763953, 'weighted_error': 1.0000908519188494, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.03189183172672958, 'weighted_error': 1.0000795970325318, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.008582076834716264, 'weighted_error': 1.000018974833411, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.004875175174613433, 'weighted_error': 1.000060642853109, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.00600822659219998, 'weighted_error': 1.0000747402189802, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.0058281585111395525, 'weighted_error': 1.0000724940369712, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.016144344290243882, 'weighted_error': 1.0002008185679936, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.009792044528458846, 'weighted_error': 1.00012180167297, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.0019378593916830847, 'weighted_error': 1.0000240761620185, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.003918279292496432, 'weighted_error': 1.0000486215758333, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.0032147464722330097, 'weighted_error': 1.0000369978391155, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.01426589361230494, 'weighted_error': 1.0001655035254842, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.008674777915339433, 'weighted_error': 1.0000541971000154, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.010751340752789076, 'weighted_error': 1.0000671743278005, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.010469306464550009, 'weighted_error': 1.000065418230002, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.026461650814116028, 'weighted_error': 1.0001653338098446, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.011612773548041558, 'weighted_error': 1.000072551130995, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.019322894966847866, 'weighted_error': 1.0001204459168536, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.015507678810001322, 'weighted_error': 1.0000957436170796, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.022374685717778075, 'weighted_error': 1.0001111930829765, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.032309483759169456, 'weighted_error': 1.0000874573375935, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.2675253608749597, 'weighted_error': 1.0016894568118588, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.28389600799827186, 'weighted_error': 1.0017928175703608, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.12653099906726478, 'weighted_error': 1.0007990593281688, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.13177953468166734, 'weighted_error': 1.0008322019779452, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.1079717524310071, 'weighted_error': 1.0006818596357379, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.5076860241447179, 'weighted_error': 1.0032059877586759, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.08238528583769159, 'weighted_error': 1.000519747301263, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.1199284378964138, 'weighted_error': 1.000744380302001, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.2564348450803218, 'weighted_error': 1.0015675235595216, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.08016412333343578, 'weighted_error': 1.0029216414614195, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.06343820494944118, 'weighted_error': 1.002312008249985, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.08622364098440025, 'weighted_error': 1.003142405283592, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.09932121493167285, 'weighted_error': 1.0036197677875511, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.16880615711052194, 'weighted_error': 1.006152160113729, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.04194118386421502, 'weighted_error': 1.0015251871073336, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.03965071207282987, 'weighted_error': 1.0014316654396362, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.0828964965709262, 'weighted_error': 1.0026857984802662, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.10219609247969533, 'weighted_error': 1.002382886175307, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.012046801369148022, 'weighted_error': 1.0003730400228779, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.014928214293933881, 'weighted_error': 1.0004622662279794, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.00860210910568592, 'weighted_error': 1.0002663743754945, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.021641192304410497, 'weighted_error': 1.0006701288071203, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.029847499778498966, 'weighted_error': 1.0009241890492389, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.031696465904868354, 'weighted_error': 1.000979870080808, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.010853130600396442, 'weighted_error': 1.000329557947597, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.02795715884859279, 'weighted_error': 1.0007026500425067, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.06897853043901489, 'weighted_error': 1.0014837066786422, 'gamma': 0.0}
