{'sample_size': 790, 'difference': -85, 'noise': 0.01, 'n': 79, 'shap_error': 3.795043221034495e-05}
{'sample_size': 790, 'difference': -85, 'noise': 0.05, 'n': 79, 'shap_error': 0.0004104730438597253}
{'sample_size': 790, 'difference': -85, 'noise': 0.1, 'n': 79, 'shap_error': 0.0020192793710125823}
{'sample_size': 790, 'difference': -85, 'noise': 0.5, 'n': 79, 'shap_error': 0.05035773339278269}
{'sample_size': 790, 'difference': -85, 'noise': 1, 'n': 79, 'shap_error': 0.20218305910026782}
{'sample_size': 790, 'difference': -25, 'noise': 0.0005, 'n': 79, 'shap_error': 0.05616038852224066}
{'sample_size': 790, 'difference': -25, 'noise': 0.001, 'n': 79, 'shap_error': 0.061135856512429664}
{'sample_size': 790, 'difference': -25, 'noise': 0.005, 'n': 79, 'shap_error': 0.029501169807003194}
{'sample_size': 790, 'difference': -25, 'noise': 0.01, 'n': 79, 'shap_error': 0.09736888147632891}
{'sample_size': 790, 'difference': -25, 'noise': 0.05, 'n': 79, 'shap_error': 0.026052652031307785}
{'sample_size': 790, 'difference': -25, 'noise': 0.1, 'n': 79, 'shap_error': 0.00842019877352547}
{'sample_size': 790, 'difference': -25, 'noise': 0.5, 'n': 79, 'shap_error': 0.04343416336884632}
{'sample_size': 790, 'difference': -25, 'noise': 1, 'n': 79, 'shap_error': 0.1945440279487378}
{'sample_size': 790, 'difference': -25, 'noise': 0.0005, 'n': 79, 'shap_error': 0.0023923701085809246}
{'sample_size': 790, 'difference': -25, 'noise': 0.001, 'n': 79, 'shap_error': 0.014524027515637477}
{'sample_size': 790, 'difference': -25, 'noise': 0.005, 'n': 79, 'shap_error': 0.011671694871807489}
{'sample_size': 790, 'difference': -25, 'noise': 0.01, 'n': 79, 'shap_error': 0.00992008996461049}
{'sample_size': 790, 'difference': -25, 'noise': 0.05, 'n': 79, 'shap_error': 0.0025831869578597836}
{'sample_size': 790, 'difference': -25, 'noise': 0.1, 'n': 79, 'shap_error': 0.0325613165298294}
{'sample_size': 790, 'difference': -25, 'noise': 0.5, 'n': 79, 'shap_error': 0.06867096290480787}
{'sample_size': 790, 'difference': -25, 'noise': 1, 'n': 79, 'shap_error': 0.19140600643909264}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.004451297788170598}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.0024533354497148123}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0024595261156655167}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.041178779878629744}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0003112073085392328}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.024034523167741427}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0013258331809415207}
{'sample_size': 790, 'difference': -115, 'noise': 0, 'n': 79, 'shap_error': 6.367155080315773e-13}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 4.200944108240385e-06}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.003200136145167355}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.02287231779848417}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.0011255271816325281}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 2.276450532781933e-05}
{'sample_size': 790, 'difference': -95, 'noise': 0, 'n': 79, 'shap_error': 0.001956405012018446}
{'sample_size': 790, 'difference': -55, 'noise': 0, 'n': 79, 'shap_error': 0.004159966235214035}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.00038435885123516087}
{'sample_size': 790, 'difference': -15, 'noise': 0, 'n': 79, 'shap_error': 0.0011060458380921653}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.002207823684506822}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0006550550373283601}
{'sample_size': 790, 'difference': -95, 'noise': 0, 'n': 79, 'shap_error': 0.003252206536817242}
{'sample_size': 790, 'difference': -95, 'noise': 0, 'n': 79, 'shap_error': 6.343809865681329e-13}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0010496582354436138}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.0039918175510303845}
{'sample_size': 790, 'difference': -95, 'noise': 0, 'n': 79, 'shap_error': 4.088058302476952e-14}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.006964336066044607}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.00035468807155046475}
{'sample_size': 790, 'difference': -5, 'noise': 0, 'n': 79, 'shap_error': 0.005610735726007758}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 8.89276897915933e-06}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 1.7624128898633415e-05}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.003740182413193657}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 5.6915013066534155e-06}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.00012287834416063184}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 6.773560800903067e-05}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.0006693374608398988}
{'sample_size': 790, 'difference': -35, 'noise': 0, 'n': 79, 'shap_error': 0.0160909464955807}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0099207149642254}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0024425737860132293}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.0005116957405143848}
{'sample_size': 790, 'difference': -35, 'noise': 0, 'n': 79, 'shap_error': 0.002448081505779697}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0014165089854115947}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.00028976255119010885}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.012069404994494447}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.000995143374072107}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.01575308263331166}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.0046780098849413644}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0010028102634373935}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0004640577058888527}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0031814960779770187}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 6.529404654326774e-14}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.007395297173705566}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.00024531914605073826}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.06238185549460683}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 7.807166842015753e-05}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0015186589677599284}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0009128115776081946}
{'sample_size': 790, 'difference': -95, 'noise': 0, 'n': 79, 'shap_error': 0.0020483926780140355}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.0007498058971068574}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 1.343735429703155e-13}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.026444647298270445}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.003925379455231072}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.0005682819041976472}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.0006598365559034654}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.0006292443869834454}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.002025692354723806}
{'sample_size': 790, 'difference': -5, 'noise': 0, 'n': 79, 'shap_error': 0.0014550528501732535}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0012892759143888696}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.007578192009621862}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.009595579558199086}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 2.276506006075004e-05}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 8.086276221833963e-05}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.0018438696638292686}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0017031928355267926}
{'sample_size': 790, 'difference': -65, 'noise': 0, 'n': 79, 'shap_error': 0.001148720777744024}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 5.9866875812933094e-05}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.002407930753670546}
{'sample_size': 790, 'difference': -95, 'noise': 0, 'n': 79, 'shap_error': 0.009908225294439993}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0007539738723820248}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 6.493933871904349e-13}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0037882033716514886}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.007128714547786669}
{'sample_size': 395, 'difference': -113, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.02528933856627726)}
{'sample_size': 1580, 'difference': -29, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.00711312352068856)}
{'sample_size': 3160, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.004585240276932081)}
{'sample_size': 6320, 'difference': -116, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.001181746337753064)}
{'sample_size': 12640, 'difference': -91, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0005082040464051618)}
{'sample_size': 395, 'difference': -89, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.025309176213720117)}
{'sample_size': 1580, 'difference': -50, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0048917025641960704)}
{'sample_size': 3160, 'difference': -100, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.002309648700478542)}
{'sample_size': 6320, 'difference': -47, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0003837944622399094)}
{'sample_size': 12640, 'difference': -94, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0010986199643847523)}
{'sample_size': 395, 'difference': -113, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.012591651736817621)}
{'sample_size': 1580, 'difference': -29, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0023873142525985985)}
{'sample_size': 3160, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.001421230152351804)}
{'sample_size': 6320, 'difference': -116, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0012677344462474333)}
{'sample_size': 12640, 'difference': -91, 'noise': 0, 'n': 79, 'shap_error': np.float64(5.577149956407145e-05)}
{'sample_size': 395, 'difference': -77, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.059765636247158055)}
{'sample_size': 1580, 'difference': -149, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.01227068478615706)}
{'sample_size': 3160, 'difference': -139, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0063773524781732096)}
{'sample_size': 6320, 'difference': -119, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.003265887071470244)}
{'sample_size': 12640, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0009404896094514296)}
{'sample_size': 395, 'difference': -113, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.00035387640599956826)}
{'sample_size': 1580, 'difference': -29, 'noise': 0, 'n': 79, 'shap_error': np.float64(4.44811997240401e-05)}
{'sample_size': 3160, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.775335927546054e-05)}
{'sample_size': 6320, 'difference': -116, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.7395608618421534e-05)}
{'sample_size': 12640, 'difference': -91, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.5831262829460043e-05)}
{'sample_size': 395, 'difference': -113, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0732706888388466)}
{'sample_size': 1580, 'difference': -29, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0048236108852704575)}
{'sample_size': 3160, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0026308234945400855)}
{'sample_size': 6320, 'difference': -116, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.000850033533191722)}
{'sample_size': 12640, 'difference': -91, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0018959039200623765)}
{'sample_size': 395, 'difference': -113, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.003162332430104575)}
{'sample_size': 1580, 'difference': -29, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0007032992893008119)}
{'sample_size': 3160, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.00036902853369676585)}
{'sample_size': 6320, 'difference': -116, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.00015978817770777003)}
{'sample_size': 12640, 'difference': -91, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.00014241397803862072)}
{'sample_size': 395, 'difference': -125, 'noise': 0, 'n': 79, 'shap_error': np.float64(8.633822384174627e-13)}
{'sample_size': 1580, 'difference': -95, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.8297592495158623e-13)}
{'sample_size': 3160, 'difference': -55, 'noise': 0, 'n': 79, 'shap_error': np.float64(4.2569694141309446e-13)}
{'sample_size': 6320, 'difference': -110, 'noise': 0, 'n': 79, 'shap_error': np.float64(4.424967136814735e-13)}
{'sample_size': 12640, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': np.float64(4.336429015160358e-13)}
{'sample_size': 395, 'difference': -113, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.62556357309265e-05)}
{'sample_size': 1580, 'difference': -29, 'noise': 0, 'n': 79, 'shap_error': np.float64(8.679341552471794e-07)}
