{'sample_size': 4000, 'noise': 0.05, 'shap_error': 0.000144093727716991, 'weighted_error': 1.0001561979492413, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0005763802986989742, 'weighted_error': 1.0006247922726075, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.014409615225414233, 'weighted_error': 1.0156198163267334, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.05763851478095655, 'weighted_error': 1.062479270062386, 'gamma': 1.6}
{'sample_size': 4000, 'noise': 0, 'shap_error': 4.7077907506048734e-14, 'weighted_error': 0.999999999998517, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 4.8833985157845666e-08, 'weighted_error': 1.00000079122459, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 1.9536950965388148e-07, 'weighted_error': 1.0000031649384986, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 4.884910816603342e-06, 'weighted_error': 1.0000791242118403, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 1.9539980227743078e-05, 'weighted_error': 1.0003164972087013, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 0.0004885062466149655, 'weighted_error': 1.0079124373909452, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.001954028357344255, 'weighted_error': 1.031649753137139, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.04885077635298909, 'weighted_error': 1.7912438998422564, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.19540313912207147, 'weighted_error': 4.164975635062573, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.6360087715223328e-13, 'weighted_error': 0.9999999999881936, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 2.7234062351865926e-09, 'weighted_error': 1.000000230082544, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 1.0939091853976252e-08, 'weighted_error': 1.0000009204811116, 'gamma': 1.0}
