{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748990041e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 1.5154985482711303e-22}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 7.252078942647126e-23}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.98674748991918e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 3.9235606587142143e-22}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.447137455930761e-07, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0002605653810592}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.2820832916993877e-06, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0017245925742224}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.3960997040446216e-07, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0001054701962038}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.2173985992551232e-07, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0000921475168767}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.605456066886711e-08, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.00004986563291}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.223369283829525e-08, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0000318513491147}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.241748159218181e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998873009635}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.3041502196218135e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872454661}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.292903956783795e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872331511}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.2982977092429885e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872242336}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.2817811113723133e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872143948}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.285640409541321e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872127954}
