{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(158.34911330721468)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(169.22914964036912)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(166.6027236055088)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(138.29595009554347)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(133.94657642039985)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(134.20536638237263)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(146.9148009708736)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(128.4054250890345)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(133.77323278122094)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(532.0633674338176)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(306.6313756486377)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(295.41691301851995)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(414.7451667609214)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(376.1205879975471)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(302.2302357300754)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(107.90013258617205)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(120.35907908757987)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(120.0716819902855)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(119.37754533445964)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(123.28306646056478)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(117.76370372512031)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(1470.2903208629548)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1535.0779504765608)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(839.221619785706)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1201.1548137519155)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(937.1971008293356)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(995.474109194714)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(110.93155390820276)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(73.4564091853429)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(77.09824463147547)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(79.16199391310272)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(71.95742002530739)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(70.18958208826332)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(273.2248720076879)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(136.17923414096035)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(219.02042727380467)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(183.00268126738564)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(175.7881298666013)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(178.3429333482111)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(249.72121699207898)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(192.9225126368981)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(170.07559439734558)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(159.431900628763)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(149.43880575527976)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(148.30098780995937)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(117.39114923007557)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(111.96043673542859)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(109.52848675111868)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(109.44191635454581)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(110.25968780524477)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(110.83717185259081)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(125.68832102055333)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(179.25832232906689)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(229.97216014962257)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(166.0450006066834)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(174.30004030458238)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(163.73279133804982)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(357.53662099073625)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(454.70722354407053)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(426.81917925884926)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(422.8492928919339)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(368.3900544670653)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(396.8797554638502)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(156.22946123904862)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(154.63191505370128)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(148.97587755587207)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(145.32632285411387)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(139.5134389782651)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(140.94647505640805)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(345.441514584991)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(156.54116608459336)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(163.19571566632175)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(135.96617816669178)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(162.16502213811424)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(178.33879897995405)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(207.90759597787448)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(194.93616734416355)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(182.861596424071)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(220.88706312275272)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(190.85374159199836)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(197.30540028333252)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(999.8960159900039)}
