{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 7.298274093147548e-05, 'weighted_error': 1.4001984956201803, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.0015275870155026456, 'weighted_error': 9.11994384409166, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.01128372478176082, 'weighted_error': 66.31643917743676, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.232281605840679e-08, 'weighted_error': 1.0004820006625648, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 8.394512115472026e-08, 'weighted_error': 1.0007566498930358, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 1.2742355584360005e-07, 'weighted_error': 1.0011071987571651, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 4.863119271788339e-07, 'weighted_error': 1.0028140916547295, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 1.2201369944481634e-06, 'weighted_error': 1.0045765320460425, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 2.593651732460919e-05, 'weighted_error': 1.0723426408571608, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.00016266201918530137, 'weighted_error': 1.8321106378588234, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.004514289691991389, 'weighted_error': 25.9273854695926, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.016084251902678287, 'weighted_error': 82.53491109729256, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.884928683728827e-07, 'weighted_error': 1.0006992593930277, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 3.985036592706022e-07, 'weighted_error': 1.0014754994059272, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 1.6370570273591308e-07, 'weighted_error': 1.000595980614384, 'gamma': 1.0}
