{'sample_size': 80, 'difference': -12, 'noise': 0.005, 'n': 8, 'shap_error': 0.0008266340316402689, 'weighted_error': 1.0173154807829565}
{'sample_size': 80, 'difference': -12, 'noise': 0.01, 'n': 8, 'shap_error': 0.00016649839176227833, 'weighted_error': 1.0034836876728195}
{'sample_size': 80, 'difference': -12, 'noise': 0.05, 'n': 8, 'shap_error': 0.0007305540560068615, 'weighted_error': 1.0153006748041904}
{'sample_size': 80, 'difference': -12, 'noise': 0.1, 'n': 8, 'shap_error': 0.009555835296296453, 'weighted_error': 1.2001705701516947}
{'sample_size': 80, 'difference': -12, 'noise': 0.5, 'n': 8, 'shap_error': 0.0553087321360832, 'weighted_error': 2.154903625290605}
{'sample_size': 80, 'difference': -12, 'noise': 1, 'n': 8, 'shap_error': 0.4130766139306346, 'weighted_error': 9.522094065264053}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0026785793290521887, 'weighted_error': 1.0031053264495473}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00022354940047244044, 'weighted_error': 1.0046829370260675}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0001255349435758627, 'weighted_error': 1.0005391752663924}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00042470345972271136, 'weighted_error': 1.0015864420119491}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005843722680479452, 'weighted_error': 1.0020949694203587}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.000829446909292312, 'weighted_error': 1.0022185446727254}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0001976173988354429, 'weighted_error': 1.0041810191679201}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0008260452912402582, 'weighted_error': 1.0009773648960683}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0013398127565787655, 'weighted_error': 1.0107799608756582}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 1.6373643231732717e-14, 'weighted_error': 0.9999999999895322}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.002443328152872438, 'weighted_error': 1.021806655678665}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0020376346421620123, 'weighted_error': 1.0067140543551927}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005051662113037198, 'weighted_error': 1.0080360251205125}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00036102862371978437, 'weighted_error': 1.0015482989107942}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0006361266748390209, 'weighted_error': 1.005108657355356}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0004278381552962163, 'weighted_error': 1.0031200760310581}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0026193570412240868, 'weighted_error': 1.013655457254587}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0003737410832301831, 'weighted_error': 1.031395176039739}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0002980926910410256, 'weighted_error': 1.0011993888314086}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 2.226476129699396e-05, 'weighted_error': 1.0229774921168402}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0003090179584617935, 'weighted_error': 1.0019132415292493}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00040047983926325874, 'weighted_error': 1.0014406575879762}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0022283693985640225, 'weighted_error': 1.0086213080888982}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0004042906554655282, 'weighted_error': 1.0026567622596954}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005503675897759951, 'weighted_error': 1.0012698036334298}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.000843034267397902, 'weighted_error': 1.039656856168307}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 9.453775442385064e-05, 'weighted_error': 1.004310700535569}
