{'sample_size': 1000, 'difference': -28, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00028870091772963856}
{'sample_size': 1000, 'difference': -34, 'noise': 0.001, 'n': 60, 'shap_error': 0.0005557036464372716}
{'sample_size': 1000, 'difference': 38, 'noise': 0.005, 'n': 60, 'shap_error': 0.0005581344711867076}
{'sample_size': 1000, 'difference': -78, 'noise': 0.01, 'n': 60, 'shap_error': 0.00033808039886976864}
{'sample_size': 1000, 'difference': -118, 'noise': 0.05, 'n': 60, 'shap_error': 0.0005766621259142181}
{'sample_size': 1000, 'difference': -98, 'noise': 0.1, 'n': 60, 'shap_error': 0.0006951286034428992}
{'sample_size': 1000, 'difference': -106, 'noise': 0.5, 'n': 60, 'shap_error': 0.004574664656332118}
{'sample_size': 1000, 'difference': -92, 'noise': 1, 'n': 60, 'shap_error': 0.01819728762716209}
{'sample_size': 1000, 'difference': -92, 'noise': 0, 'n': 60, 'shap_error': 2.4751312603364382e-06}
{'sample_size': 1000, 'difference': -84, 'noise': 0.0005, 'n': 60, 'shap_error': 2.0883404984095478e-06}
{'sample_size': 1000, 'difference': -70, 'noise': 0.001, 'n': 60, 'shap_error': 2.486431871758602e-06}
{'sample_size': 1000, 'difference': -62, 'noise': 0.005, 'n': 60, 'shap_error': 3.176506215364078e-06}
{'sample_size': 1000, 'difference': -26, 'noise': 0.01, 'n': 60, 'shap_error': 4.580087057068132e-06}
{'sample_size': 1000, 'difference': -62, 'noise': 0.05, 'n': 60, 'shap_error': 5.416966733503735e-05}
{'sample_size': 1000, 'difference': 10, 'noise': 0.1, 'n': 60, 'shap_error': 0.00013736662838683707}
{'sample_size': 1000, 'difference': -54, 'noise': 0.5, 'n': 60, 'shap_error': 0.003947207323688863}
{'sample_size': 1000, 'difference': -18, 'noise': 1, 'n': 60, 'shap_error': 0.017830251976985637}
{'sample_size': 500, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 0.00021321413640151054}
{'sample_size': 1000, 'difference': -58, 'noise': 0, 'n': 60, 'shap_error': 0.00015917616734074488}
{'sample_size': 2000, 'difference': -30, 'noise': 0, 'n': 60, 'shap_error': 4.005153977118091e-05}
{'sample_size': 4000, 'difference': -2, 'noise': 0, 'n': 60, 'shap_error': 2.7249613946567948e-05}
{'sample_size': 8000, 'difference': -18, 'noise': 0, 'n': 60, 'shap_error': 6.522847712766279e-06}
{'sample_size': 16000, 'difference': 376, 'noise': 0, 'n': 60, 'shap_error': 5.561690939854243e-06}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 60, 'shap_error': 0.001578825664844518}
{'sample_size': 1000, 'difference': -88, 'noise': 0, 'n': 60, 'shap_error': 0.0008453097924154586}
{'sample_size': 2000, 'difference': -32, 'noise': 0, 'n': 60, 'shap_error': 0.00029390061208513387}
{'sample_size': 4000, 'difference': -24, 'noise': 0, 'n': 60, 'shap_error': 0.0001491453762270784}
{'sample_size': 8000, 'difference': 92, 'noise': 0, 'n': 60, 'shap_error': 6.858603026317552e-05}
{'sample_size': 16000, 'difference': -130, 'noise': 0, 'n': 60, 'shap_error': 4.7756119686430534e-05}
{'sample_size': 500, 'difference': -74, 'noise': 0, 'n': 60, 'shap_error': 0.0014013939382042095}
{'sample_size': 1000, 'difference': -82, 'noise': 0, 'n': 60, 'shap_error': 0.0004466873879879892}
{'sample_size': 2000, 'difference': -24, 'noise': 0, 'n': 60, 'shap_error': 0.0002218309173461901}
{'sample_size': 4000, 'difference': -14, 'noise': 0, 'n': 60, 'shap_error': 8.491940831056794e-05}
{'sample_size': 8000, 'difference': 34, 'noise': 0, 'n': 60, 'shap_error': 4.0906614907246016e-05}
{'sample_size': 16000, 'difference': 172, 'noise': 0, 'n': 60, 'shap_error': 2.102487733680944e-05}
{'sample_size': 500, 'difference': -54, 'noise': 0, 'n': 60, 'shap_error': 0.0016293861246605655}
{'sample_size': 1000, 'difference': -10, 'noise': 0, 'n': 60, 'shap_error': 0.0008727595462967543}
{'sample_size': 2000, 'difference': -82, 'noise': 0, 'n': 60, 'shap_error': 0.0002901560588041965}
{'sample_size': 4000, 'difference': 30, 'noise': 0, 'n': 60, 'shap_error': 0.00016446452364646038}
{'sample_size': 8000, 'difference': -302, 'noise': 0, 'n': 60, 'shap_error': 7.779730669839219e-05}
{'sample_size': 16000, 'difference': -128, 'noise': 0, 'n': 60, 'shap_error': 3.8443040598390255e-05}
{'sample_size': 500, 'difference': -46, 'noise': 0, 'n': 60, 'shap_error': 0.00020115119942064983}
{'sample_size': 1000, 'difference': -134, 'noise': 0, 'n': 60, 'shap_error': 6.734582057351074e-05}
{'sample_size': 2000, 'difference': -18, 'noise': 0, 'n': 60, 'shap_error': 3.31778847426858e-05}
{'sample_size': 4000, 'difference': 38, 'noise': 0, 'n': 60, 'shap_error': 1.7856700728337192e-05}
{'sample_size': 8000, 'difference': 66, 'noise': 0, 'n': 60, 'shap_error': 1.0484137793624984e-05}
{'sample_size': 16000, 'difference': 46, 'noise': 0, 'n': 60, 'shap_error': 4.464522981549737e-06}
{'sample_size': 500, 'difference': -38, 'noise': 0, 'n': 60, 'shap_error': 0.0005515258167421288}
{'sample_size': 1000, 'difference': 16, 'noise': 0, 'n': 60, 'shap_error': 0.00014126315945363295}
{'sample_size': 2000, 'difference': 38, 'noise': 0, 'n': 60, 'shap_error': 6.877244390376644e-05}
{'sample_size': 4000, 'difference': -60, 'noise': 0, 'n': 60, 'shap_error': 4.0897077873456976e-05}
{'sample_size': 8000, 'difference': -188, 'noise': 0, 'n': 60, 'shap_error': 1.679944937941365e-05}
{'sample_size': 16000, 'difference': -148, 'noise': 0, 'n': 60, 'shap_error': 6.184209269819706e-06}
{'sample_size': 500, 'difference': -50, 'noise': 0, 'n': 60, 'shap_error': 0.00035496084776187007}
{'sample_size': 1000, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 0.0001540775532128664}
{'sample_size': 2000, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 8.445649640187167e-05}
{'sample_size': 4000, 'difference': 52, 'noise': 0, 'n': 60, 'shap_error': 2.8302580196344115e-05}
{'sample_size': 8000, 'difference': 72, 'noise': 0, 'n': 60, 'shap_error': 1.3384349113394273e-05}
{'sample_size': 16000, 'difference': -312, 'noise': 0, 'n': 60, 'shap_error': 7.1397174749841296e-06}
{'sample_size': 500, 'difference': -22, 'noise': 0, 'n': 60, 'shap_error': 0.0006807125811665969}
{'sample_size': 1000, 'difference': -60, 'noise': 0, 'n': 60, 'shap_error': 0.00026379405055327026}
{'sample_size': 2000, 'difference': -106, 'noise': 0, 'n': 60, 'shap_error': 0.0001384550201578698}
{'sample_size': 4000, 'difference': 88, 'noise': 0, 'n': 60, 'shap_error': 3.869265967186457e-05}
{'sample_size': 8000, 'difference': -138, 'noise': 0, 'n': 60, 'shap_error': 2.3500897520907894e-05}
{'sample_size': 16000, 'difference': -190, 'noise': 0, 'n': 60, 'shap_error': 1.673779669312055e-05}
{'sample_size': 500, 'difference': -60, 'noise': 0, 'n': 60, 'shap_error': 0.00019509038598225078}
{'sample_size': 1000, 'difference': -36, 'noise': 0, 'n': 60, 'shap_error': 7.049855941495708e-05}
{'sample_size': 2000, 'difference': 24, 'noise': 0, 'n': 60, 'shap_error': 3.851110355995092e-05}
{'sample_size': 4000, 'difference': 18, 'noise': 0, 'n': 60, 'shap_error': 1.7568597201493497e-05}
{'sample_size': 8000, 'difference': -378, 'noise': 0, 'n': 60, 'shap_error': 6.084585880648188e-06}
{'sample_size': 16000, 'difference': 502, 'noise': 0, 'n': 60, 'shap_error': 3.766268782503248e-06}
{'sample_size': 500, 'difference': 26, 'noise': 0, 'n': 60, 'shap_error': 0.00010440855235513794}
{'sample_size': 1000, 'difference': -84, 'noise': 0, 'n': 60, 'shap_error': 8.571155441098489e-05}
{'sample_size': 2000, 'difference': -12, 'noise': 0, 'n': 60, 'shap_error': 2.561883812516873e-05}
{'sample_size': 4000, 'difference': 2, 'noise': 0, 'n': 60, 'shap_error': 1.4584722134335566e-05}
{'sample_size': 8000, 'difference': -150, 'noise': 0, 'n': 60, 'shap_error': 4.472869974584427e-06}
{'sample_size': 16000, 'difference': 178, 'noise': 0, 'n': 60, 'shap_error': 3.573694088140975e-06}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 60, 'shap_error': 1.0144187143341281e-05}
{'sample_size': 1000, 'difference': -106, 'noise': 0, 'n': 60, 'shap_error': 4.683981941778018e-06}
{'sample_size': 2000, 'difference': 6, 'noise': 0, 'n': 60, 'shap_error': 1.8387772400559907e-06}
{'sample_size': 4000, 'difference': -48, 'noise': 0, 'n': 60, 'shap_error': 7.426872160315125e-07}
{'sample_size': 8000, 'difference': -12, 'noise': 0, 'n': 60, 'shap_error': 3.168851636963847e-07}
{'sample_size': 16000, 'difference': 302, 'noise': 0, 'n': 60, 'shap_error': 1.6416155332946864e-07}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 60, 'shap_error': 0.00043120054690245384}
{'sample_size': 1000, 'difference': -104, 'noise': 0, 'n': 60, 'shap_error': 0.0003661451473049197}
{'sample_size': 2000, 'difference': -108, 'noise': 0, 'n': 60, 'shap_error': 0.0001265158496852804}
{'sample_size': 4000, 'difference': 70, 'noise': 0, 'n': 60, 'shap_error': 7.824051759427396e-05}
{'sample_size': 8000, 'difference': -248, 'noise': 0, 'n': 60, 'shap_error': 3.480837912805341e-05}
