{'sample_size': 1000, 'difference': 3, 'noise': 0.0005, 'n': 10, 'shap_error': 0.004270557916425885, 'weighted_error': 1.0000266846099632}
{'sample_size': 1000, 'difference': 2, 'noise': 0.001, 'n': 10, 'shap_error': 0.0038906303604136347, 'weighted_error': 1.0000243073067623}
{'sample_size': 1000, 'difference': -1, 'noise': 0.005, 'n': 10, 'shap_error': 0.007509665037851912, 'weighted_error': 1.0000469257506597}
{'sample_size': 1000, 'difference': -1, 'noise': 0.01, 'n': 10, 'shap_error': 0.006445102914654259, 'weighted_error': 1.000040271483953}
{'sample_size': 1000, 'difference': -5, 'noise': 0.05, 'n': 10, 'shap_error': 0.005171395764150448, 'weighted_error': 1.000032188711509}
{'sample_size': 1000, 'difference': 1, 'noise': 0.1, 'n': 10, 'shap_error': 0.00877713189231867, 'weighted_error': 1.0000542739822254}
{'sample_size': 1000, 'difference': 1, 'noise': 0.5, 'n': 10, 'shap_error': 0.009460661699347919, 'weighted_error': 1.0000449040519783}
{'sample_size': 1000, 'difference': -3, 'noise': 1, 'n': 10, 'shap_error': 0.03752535581541171, 'weighted_error': 1.000208902237405}
{'sample_size': 1000, 'difference': 4, 'noise': 0.0005, 'n': 10, 'shap_error': 0.006485270281824993, 'weighted_error': 1.000040954532606}
{'sample_size': 1000, 'difference': -3, 'noise': 0.001, 'n': 10, 'shap_error': 0.009298349144119162, 'weighted_error': 1.0000587194326853}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 10, 'shap_error': 0.007551024358883024, 'weighted_error': 1.000047685551455}
{'sample_size': 1000, 'difference': 6, 'noise': 0.01, 'n': 10, 'shap_error': 0.0025545903671244526, 'weighted_error': 1.0000161166088586}
{'sample_size': 1000, 'difference': 2, 'noise': 0.05, 'n': 10, 'shap_error': 0.00474432470174646, 'weighted_error': 1.0000299200670595}
{'sample_size': 1000, 'difference': -3, 'noise': 0.1, 'n': 10, 'shap_error': 0.006224361739918381, 'weighted_error': 1.0000336598473087}
{'sample_size': 1000, 'difference': -2, 'noise': 0.5, 'n': 10, 'shap_error': 0.011068373683025807, 'weighted_error': 1.0000318797062113}
{'sample_size': 1000, 'difference': -2, 'noise': 1, 'n': 10, 'shap_error': 0.04365918820215796, 'weighted_error': 1.0001291884201797}
{'sample_size': 1000, 'difference': -1, 'noise': 0.0005, 'n': 10, 'shap_error': 0.0014840202234371077, 'weighted_error': 1.000054083855539}
{'sample_size': 1000, 'difference': -2, 'noise': 0.001, 'n': 10, 'shap_error': 0.0021083971944119003, 'weighted_error': 1.0000768393740365}
{'sample_size': 1000, 'difference': -1, 'noise': 0.005, 'n': 10, 'shap_error': 0.0005527052117888277, 'weighted_error': 1.0000201285206018}
{'sample_size': 1000, 'difference': -3, 'noise': 0.01, 'n': 10, 'shap_error': 0.0014808439541389175, 'weighted_error': 1.0000535765023346}
{'sample_size': 1000, 'difference': 5, 'noise': 0.05, 'n': 10, 'shap_error': 0.0008064070494712925, 'weighted_error': 1.0000268969689026}
{'sample_size': 1000, 'difference': 4, 'noise': 0.1, 'n': 10, 'shap_error': 0.001904937950584416, 'weighted_error': 1.0000671746549763}
{'sample_size': 1000, 'difference': 2, 'noise': 0.5, 'n': 10, 'shap_error': 0.020635618209525003, 'weighted_error': 1.0001854090388593}
{'sample_size': 1000, 'difference': 7, 'noise': 1, 'n': 10, 'shap_error': 0.053913405988349275, 'weighted_error': 1.0009641754728695}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 10, 'shap_error': 0.0013611655292200477, 'weighted_error': 1.0000421523930494}
{'sample_size': 1000, 'difference': 1, 'noise': 0.001, 'n': 10, 'shap_error': 0.004302434180374732, 'weighted_error': 1.0001332214259362}
{'sample_size': 1000, 'difference': -4, 'noise': 0.005, 'n': 10, 'shap_error': 0.0011211656674714355, 'weighted_error': 1.0000347213270053}
{'sample_size': 1000, 'difference': 2, 'noise': 0.01, 'n': 10, 'shap_error': 0.002729736058074895, 'weighted_error': 1.0000845122905953}
{'sample_size': 1000, 'difference': 10, 'noise': 0.05, 'n': 10, 'shap_error': 0.001442855140184183, 'weighted_error': 1.0000403585565358}
{'sample_size': 1000, 'difference': 1, 'noise': 0.1, 'n': 10, 'shap_error': 0.0008147805631254314, 'weighted_error': 1.000022314954862}
