{'sample_size': 1000, 'difference': -100, 'noise': 0.0005, 'n': 60, 'shap_error': 0.0001532191497607426}
{'sample_size': 1000, 'difference': -114, 'noise': 0.001, 'n': 60, 'shap_error': 0.00014748211030235782}
{'sample_size': 1000, 'difference': -74, 'noise': 0.005, 'n': 60, 'shap_error': 0.00017396462509020253}
{'sample_size': 1000, 'difference': -28, 'noise': 0.01, 'n': 60, 'shap_error': 0.00014780783613974936}
{'sample_size': 1000, 'difference': -78, 'noise': 0.05, 'n': 60, 'shap_error': 0.0002492706112990207}
{'sample_size': 1000, 'difference': -80, 'noise': 0.1, 'n': 60, 'shap_error': 0.000259531818008468}
{'sample_size': 1000, 'difference': -118, 'noise': 0.5, 'n': 60, 'shap_error': 0.0019971601384790524}
{'sample_size': 1000, 'difference': -76, 'noise': 1, 'n': 60, 'shap_error': 0.014692627922268924}
{'sample_size': 1000, 'difference': -86, 'noise': 0, 'n': 60, 'shap_error': 0.00028085009000981614}
{'sample_size': 1000, 'difference': -90, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00033152316094527346}
{'sample_size': 1000, 'difference': -54, 'noise': 0.001, 'n': 60, 'shap_error': 0.0003297384999415424}
{'sample_size': 1000, 'difference': -68, 'noise': 0.005, 'n': 60, 'shap_error': 0.0002571449935446806}
{'sample_size': 1000, 'difference': -92, 'noise': 0.01, 'n': 60, 'shap_error': 0.0003189048854743726}
{'sample_size': 1000, 'difference': -74, 'noise': 0.05, 'n': 60, 'shap_error': 0.0005810294549192147}
{'sample_size': 1000, 'difference': -110, 'noise': 0.1, 'n': 60, 'shap_error': 0.0006744995966751615}
{'sample_size': 1000, 'difference': -78, 'noise': 0.5, 'n': 60, 'shap_error': 0.0050821871737583195}
{'sample_size': 1000, 'difference': -72, 'noise': 1, 'n': 60, 'shap_error': 0.025097671801746668}
{'sample_size': 1000, 'difference': -20, 'noise': 0, 'n': 60, 'shap_error': 0.00011316938974521843}
{'sample_size': 1000, 'difference': -62, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00014683841705532985}
{'sample_size': 1000, 'difference': -80, 'noise': 0.001, 'n': 60, 'shap_error': 0.00013575890261957534}
{'sample_size': 1000, 'difference': -24, 'noise': 0.005, 'n': 60, 'shap_error': 0.0001191637953335723}
{'sample_size': 1000, 'difference': -48, 'noise': 0.01, 'n': 60, 'shap_error': 0.00012467325465628762}
{'sample_size': 1000, 'difference': -14, 'noise': 0.05, 'n': 60, 'shap_error': 0.00016894138696709778}
{'sample_size': 1000, 'difference': -54, 'noise': 0.1, 'n': 60, 'shap_error': 0.00034910039533380945}
{'sample_size': 1000, 'difference': -88, 'noise': 0.5, 'n': 60, 'shap_error': 0.0034775006394335535}
{'sample_size': 1000, 'difference': -80, 'noise': 1, 'n': 60, 'shap_error': 0.012387597185113158}
{'sample_size': 1000, 'difference': -36, 'noise': 0, 'n': 60, 'shap_error': 0.00016711440083095464}
{'sample_size': 1000, 'difference': -90, 'noise': 0.0005, 'n': 60, 'shap_error': 8.783744042369023e-05}
{'sample_size': 1000, 'difference': -108, 'noise': 0.001, 'n': 60, 'shap_error': 0.00010665874927260969}
{'sample_size': 1000, 'difference': -42, 'noise': 0.005, 'n': 60, 'shap_error': 0.0001898075494812801}
{'sample_size': 1000, 'difference': -100, 'noise': 0.01, 'n': 60, 'shap_error': 0.00020540024514771878}
{'sample_size': 1000, 'difference': -6, 'noise': 0.05, 'n': 60, 'shap_error': 0.00012238948715607265}
{'sample_size': 1000, 'difference': -100, 'noise': 0.1, 'n': 60, 'shap_error': 0.00018507674999967047}
{'sample_size': 1000, 'difference': -68, 'noise': 0.5, 'n': 60, 'shap_error': 0.0025087543373465905}
{'sample_size': 1000, 'difference': -14, 'noise': 1, 'n': 60, 'shap_error': 0.012676755842229426}
{'sample_size': 1000, 'difference': -22, 'noise': 0, 'n': 60, 'shap_error': 0.00023073423887325602}
{'sample_size': 1000, 'difference': -84, 'noise': 0.0005, 'n': 60, 'shap_error': 0.00041051832858768534}
{'sample_size': 1000, 'difference': -108, 'noise': 0.001, 'n': 60, 'shap_error': 0.00035126483516732414}
