{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.12318948926377961, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.1172177469263525}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.05438131167699917, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.0517448654220303}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.11269274572474951, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.10724410399286}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.01913823420021801, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.0182100571848025}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.012595559465614022, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.0119868280886726}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0072636245275215635, 'shap_norm_sq': 0.0014858980805663646, 'weighted_error': 1.0069120815234658}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.14897138748580813, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.234039386277127}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0011774055013510567, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.001849737183327}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.020769536722142507, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.0326296955484888}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.01523388599704412, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.0239328264508654}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.009152661535689565, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.014379091523284}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.000132442016559906, 'shap_norm_sq': 0.540512356100592, 'weighted_error': 1.0002080834570946}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.9269610621506075e-05, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 1.114376192819411}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.984464720599934e-06, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 1.0533296320654812}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.869304687566294e-06, 'shap_norm_sq': 0.9779636792638885, 'weighted_error': 1.0289054424310584}
