{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005737641249796075, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0133226846951768}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0030568149721733684, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0070978646982782}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.028377719475962432, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.2277282631851456}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.018352619161418286, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.147277702971324}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.004074388017584089, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0326965681499125}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005829729451359054, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0467829961721717}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.002073253300322259, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0166376339282415}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0009671941350855695, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0077616296524443}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.11304087885553059, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.1615718571077018}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.06078770290767837, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.086885214416491}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.008690845371404406, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0124220280571263}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.028054770954536717, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0400993406856665}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0032021878283460246, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0045769459633846}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0018255683724712989, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.002609325057797}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.013444763145284819, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.2095561381734146}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005414233998201754, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0843888062366736}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.002864198261212555, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0446428029359087}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0030127550898434515, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0469580988892697}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.000437187969227568, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0068142058571892}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.6707869349415167e-05, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.000883886657771}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.1263476928469246, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.343059852529476}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.043429401344616626, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.1179195957223258}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0198834887666075, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.053987797483516}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.004972769642929919, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.0135020491690918}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.008011564177450952, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.0217531019514625}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.001758645133483451, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.0047750757760567}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.04215978276426052, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.3586279545770796}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.012452218225026453, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.1059234298074396}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005611714047028134, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0477355278985734}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0028086197332180094, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0238912814379828}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0009752540796460061, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0082959083928547}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0006650363540963921, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0056570354157586}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.06012007632945998, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.166420462018677}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03628129933223029, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.1004315817687795}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.008839649479965368, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0244693191233833}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0012558083860233515, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0034762755822273}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005090178412819202, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.014090265747851}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.002981435303924131, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.008253029351426}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.05430538349705064, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.1686352986158732}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0428499834923426, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.1330626323842266}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.017912243358456134, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.055623185857637}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.010052924496480174, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.031217414663272}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.004910536111866994, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.015248710913213}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0009983072484035622, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0031000740595164}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.23797642805055755, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.2901209279685433}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.09154388362494784, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.1116025904706472}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.07991021491485271, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0974198927858185}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.017667791745941984, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0215390762996823}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.008100843806173794, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0098758635618166}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.010008308775538498, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0122012622695402}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.2745115920838758, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.277666218280274}
