{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 5.67781493142948e-05, 'weighted_error': 1.0033608275686265, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.00025070212485458934, 'weighted_error': 1.0154446760429394, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.002760939919230606, 'weighted_error': 1.0884552131397542, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.011938880360793148, 'weighted_error': 1.429807970284664, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.3105585775010695e-05, 'weighted_error': 1.0001161762179098, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 1.420533632797932e-05, 'weighted_error': 1.0000714268822268, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 1.4572096713385014e-05, 'weighted_error': 1.0000732648479052, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 3.99013287605107e-05, 'weighted_error': 1.0002006205698493, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 2.6583022880695093e-05, 'weighted_error': 1.000133636725874, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 4.300466040968546e-05, 'weighted_error': 1.0002156771631665, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 9.235971000364385e-05, 'weighted_error': 1.0004622133160297, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0013940926589806404, 'weighted_error': 1.0069554046020373, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.004803550380745654, 'weighted_error': 1.0239358429793703, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.4173842021266546e-05, 'weighted_error': 1.0000542733164381, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 8.169470437085225e-06, 'weighted_error': 1.000031278297487, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 1.618801275867156e-05, 'weighted_error': 1.0000619820281824, 'gamma': 0.044}
