{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.017033330535574875, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.1382281105603749}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.007857987250308448, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0637689573062188}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0018193006158439373, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0147639250374214}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0023214698645228344, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0188391379591069}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0010254000644502408, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0083212544892508}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.1759977406708039, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.408662709621507}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.1223641946586984, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.2841268981809475}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.020147286215683038, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0467815594472794}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.013616126107392702, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.031616357236034}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0027411760430955225, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0063649618624089}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0027082908524883815, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0062885824840075}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.023422933592134754, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.1879662716272996}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.008449421312919493, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.06780559174895}
